duration,sample_duration,total_sample,class
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
0.9387301587301587,4.5351473922902495e-05,20699,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
0.64,4.5351473922902495e-05,14112,no
1.0,4.5351473922902495e-05,22050,no
0.8960090702947846,4.5351473922902495e-05,19757,no
1.0,4.5351473922902495e-05,22050,no
0.5546938775510204,4.5351473922902495e-05,12231,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
0.6502040816326531,4.5351473922902495e-05,14337,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
0.64,4.5351473922902495e-05,14112,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
1.0,4.5351473922902495e-05,22050,no
