duration,sample_duration,total_sample,class
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
0.7253968253968254,4.5351473922902495e-05,15995,on
1.0,4.5351473922902495e-05,22050,on
0.96,4.5351473922902495e-05,21168,on
1.0,4.5351473922902495e-05,22050,on
0.8359637188208617,4.5351473922902495e-05,18433,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
0.8824036281179138,4.5351473922902495e-05,19457,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
0.9752834467120182,4.5351473922902495e-05,21505,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
0.7895238095238095,4.5351473922902495e-05,17409,on
0.6037641723356009,4.5351473922902495e-05,13313,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
0.9387301587301587,4.5351473922902495e-05,20699,on
0.9288435374149661,4.5351473922902495e-05,20481,on
1.0,4.5351473922902495e-05,22050,on
1.0,4.5351473922902495e-05,22050,on
