duration,sample_duration,total_sample,class
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
0.9387301587301587,4.5351473922902495e-05,20699,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
0.8960090702947846,4.5351473922902495e-05,19757,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
0.9752834467120182,4.5351473922902495e-05,21505,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
0.7895238095238095,4.5351473922902495e-05,17409,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
0.5974149659863945,4.5351473922902495e-05,13173,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
0.5546938775510204,4.5351473922902495e-05,12231,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
0.6037641723356009,4.5351473922902495e-05,13313,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
0.8960090702947846,4.5351473922902495e-05,19757,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
0.8960090702947846,4.5351473922902495e-05,19757,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
0.8359637188208617,4.5351473922902495e-05,18433,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
0.9288435374149661,4.5351473922902495e-05,20481,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
0.9288435374149661,4.5351473922902495e-05,20481,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
1.0,4.5351473922902495e-05,22050,one
