duration,sample_duration,total_sample,class
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
0.98140589569161,4.5351473922902495e-05,21640,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
0.8359637188208617,4.5351473922902495e-05,18433,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
1.0,4.5351473922902495e-05,22050,seven
