duration,sample_duration,total_sample,class
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
0.8960090702947846,4.5351473922902495e-05,19757,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
0.9387301587301587,4.5351473922902495e-05,20699,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
0.6827210884353742,4.5351473922902495e-05,15054,six
1.0,4.5351473922902495e-05,22050,six
0.8824036281179138,4.5351473922902495e-05,19457,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
0.8359637188208617,4.5351473922902495e-05,18433,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
0.7680272108843538,4.5351473922902495e-05,16935,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
1.0,4.5351473922902495e-05,22050,six
