duration,sample_duration,total_sample,class
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
0.98140589569161,4.5351473922902495e-05,21640,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
0.810702947845805,4.5351473922902495e-05,17876,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
0.7253968253968254,4.5351473922902495e-05,15995,three
1.0,4.5351473922902495e-05,22050,three
0.7430839002267574,4.5351473922902495e-05,16385,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
0.9288435374149661,4.5351473922902495e-05,20481,three
1.0,4.5351473922902495e-05,22050,three
0.9288435374149661,4.5351473922902495e-05,20481,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
0.9288435374149661,4.5351473922902495e-05,20481,three
1.0,4.5351473922902495e-05,22050,three
0.98140589569161,4.5351473922902495e-05,21640,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
0.8824036281179138,4.5351473922902495e-05,19457,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
0.7253968253968254,4.5351473922902495e-05,15995,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
0.9752834467120182,4.5351473922902495e-05,21505,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
0.8960090702947846,4.5351473922902495e-05,19757,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
0.9752834467120182,4.5351473922902495e-05,21505,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
0.9752834467120182,4.5351473922902495e-05,21505,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
0.9288435374149661,4.5351473922902495e-05,20481,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
1.0,4.5351473922902495e-05,22050,three
