"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.36044294, 1025.2908660693497, 1417.373938824454, 1985.214510830966, 0.044290025, 0.043501420454545456]",down
"[0.36925086, 1321.3466764311647, 1091.711399147848, 2134.478759765625, 0.03394491, 0.08885609019886363]",down
"[0.42527816, 2068.54722973129, 1672.591837253805, 3973.6100630326705, 0.035596773, 0.13930442116477273]",down
"[0.39394227, 1391.5344187132498, 1509.1590923782817, 2879.821222478693, 0.05220507, 0.06317693536931818]",down
"[0.39587653, 1585.0196611626875, 1566.4364536091996, 2982.103937322443, 0.029824395, 0.08600408380681818]",down
"[0.33693814, 1051.258966330547, 1312.8947211142697, 2157.480135830966, 0.042961765, 0.042768998579545456]",down
"[0.38723367, 1084.4738371915328, 1333.2125732766424, 1901.528653231534, 0.028709533, 0.04532137784090909]",down
"[0.4290431, 1706.1912334808585, 1573.4174756536931, 3281.366521661932, 0.025253605, 0.09016557173295454]",down
"[0.5521729, 1193.143441794587, 1488.816783048337, 2522.8105024857955, 0.040881902, 0.04296875]",down
"[0.32388872, 2065.012517298746, 1890.1582053692366, 4324.258700284091, 0.1223681, 0.14475319602272727]",down
"[0.38736942, 1654.034552189725, 1406.8277062019124, 3119.1334117542615, 0.054527067, 0.09211869673295454]",down
"[0.4093519, 1111.268040638791, 1504.2408278214816, 2207.1533203125, 0.022588722, 0.0242919921875]",down
"[0.3234531, 2190.584149391545, 1574.3651529677302, 4070.5094770951705, 0.07125048, 0.2250643643465909]",down
"[0.2916029, 1229.524705368126, 1563.9674904476242, 2464.083584872159, 0.09670138, 0.05416592684659091]",down
"[0.47537076, 1469.1933565937284, 1440.9896909348086, 3107.388028231534, 0.022845434, 0.07558371803977272]",down
"[0.53062654, 2211.8494541144682, 1905.6199521927615, 4583.635919744318, 0.021615354, 0.1722745028409091]",down
"[0.3932745, 1258.2053185694922, 1294.6611904266713, 2626.3166947798295, 0.11307006, 0.06575150923295454]",down
"[0.43664894, 1301.3138767826656, 1508.2652112911499, 2642.2219016335225, 0.03923383, 0.057173295454545456]",down
"[0.4004727, 1668.0097761523537, 1847.1121654988638, 3739.1917835582385, 0.01295814, 0.07498446377840909]",down
"[0.5803279, 1995.9471949097692, 1850.5073107494281, 4149.301424893466, 0.006447502, 0.09156383167613637]",down
"[0.33711955, 1444.3539663639006, 1440.7878543610316, 2772.8892933238635, 0.026434606, 0.07095614346590909]",down
"[0.37225226, 1898.2679313674273, 1810.3913089668758, 3871.3273481889205, 0.069032714, 0.08661443536931818]",down
"[0.4395942, 1688.560426762565, 1928.5768298152789, 3705.2865377286585, 0.010423303, 0.05398485137195122]",down
"[0.40853608, 1012.4296886897467, 1395.570653909561, 1968.819912997159, 0.059906006, 0.03951748934659091]",down
"[0.5091164, 1111.8258021683575, 1502.5290907628964, 2453.8063742897725, 0.016658615, 0.043701171875]",down
"[0.38616088, 1302.6038709707375, 1461.6572491455925, 2465.796453302557, 0.12580703, 0.050836736505681816]",down
"[0.37405348, 1002.5120439451622, 909.2669248160655, 1531.3043767755682, 0.08632088, 0.06621759588068182]",down
"[0.4368366, 1691.582297252139, 1393.2672561292668, 2899.152166193182, 0.0416124, 0.10085227272727272]",down
