"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.48306656, 1297.4673221522592, 1695.1535664454073, 2773.1339888139205, 0.03057701, 0.04271351207386364]",eight
"[0.53647304, 2091.637330857534, 1853.867470111722, 4349.217640269886, 0.022645516, 0.11162775213068182]",eight
"[0.4619591, 2075.4526384120113, 1905.630818075716, 4401.827170632102, 0.016403742, 0.11101740056818182]",eight
"[0.35457042, 1622.8130357812827, 1658.7893311499292, 3351.8388227982955, 0.032162298, 0.10038618607954546]",eight
"[0.5709999, 1312.355484784888, 1564.8301261414772, 2654.657451923077, 0.017386131, 0.05666566506410257]",eight
"[0.46873984, 2461.5761631190812, 1848.1033111537954, 4634.28788618608, 0.006447399, 0.13709605823863635]",eight
"[0.6339655, 2336.685986565283, 1700.3658254729123, 4062.6792214133525, 0.013882888, 0.14036976207386365]",eight
"[0.58707595, 1469.9973891939662, 1720.7118805194461, 3225.820645419034, 0.025541013, 0.046930486505681816]",eight
"[0.48001665, 3198.3822758589067, 1970.8394480904592, 5391.375732421875, 0.031483, 0.2767555930397727]",eight
"[0.4505889, 2107.877909442528, 1515.0580726552705, 3579.650324041193, 0.050766572, 0.13995916193181818]",eight
"[0.5159977, 1073.264718456644, 1493.4547874773743, 2148.181707208807, 0.015463814, 0.025301846590909092]",eight
"[0.31651923, 1597.0673816825408, 1615.7446856216216, 3206.2450062144885, 0.045891836, 0.1031494140625]",eight
"[0.53625154, 2284.2848054144856, 2066.970544801079, 4747.826593572443, 0.0056188153, 0.11250443892045454]",eight
"[0.35762456, 1239.0033980729793, 1470.2815080342634, 2330.96923828125, 0.07843587, 0.06337668678977272]",eight
"[0.44978338, 2640.0497447099924, 1834.6666934413383, 4830.778364701705, 0.007764844, 0.33607066761363635]",eight
"[0.4251821, 1884.3430419940453, 1675.9512785453358, 3671.9005237926135, 0.012448255, 0.12127130681818182]",eight
"[0.43473455, 2524.0813099280263, 1766.0582829171801, 4566.507235440341, 0.009913863, 0.21100408380681818]",eight
"[0.4356882, 1727.8098048250004, 1665.3213435203552, 3696.3700727982955, 0.0866289, 0.09855513139204546]",eight
"[0.40249398, 1453.5566655371636, 1722.6199615464789, 2956.3983623798076, 0.04974511, 0.056014623397435896]",eight
"[0.3870757, 2298.0941621406723, 1947.4555808583982, 4626.212935014205, 0.03534688, 0.14326615767045456]",eight
"[0.4972803, 1765.244811640754, 1621.950004363796, 3637.887850674716, 0.025744272, 0.10673384232954546]",eight
"[0.37113127, 1553.296967785417, 1195.7433100407984, 2525.5021528764205, 0.034324337, 0.08104359019886363]",eight
"[0.4119761, 1817.902959086755, 1820.5498606091396, 3826.058682528409, 0.041292567, 0.08099920099431818]",eight
"[0.44598615, 1235.66907134672, 1617.8729744469508, 2612.369051846591, 0.017857656, 0.04964932528409091]",eight
"[0.56681705, 2801.1400412552625, 2093.5938355025955, 5187.756017736487, 0.0003153992, 0.19050886824324326]",eight
"[0.49102002, 1695.6839440048918, 1614.6348877980233, 3565.4579856178975, 0.030065797, 0.0963134765625]",eight
"[0.40421757, 1427.7144825335138, 1373.1441082322474, 2586.1866344105115, 0.039549787, 0.07391912286931818]",eight
"[0.67236906, 2848.5487698828506, 2001.618582436027, 5226.940363103693, 0.007825595, 0.3569003018465909]",eight
"[0.41625878, 1852.4720581302442, 1906.5669044747947, 4099.628240411932, 0.057512168, 0.08200905539772728]",eight
"[0.38489816, 2346.811485125613, 1555.4486129063284, 3800.6103515625, 0.040058926, 0.16852361505681818]",eight
"[0.6670583, 1339.3582797303372, 1848.483636890341, 3339.6040482954545, 0.008146878, 0.021162553267045456]",eight
"[0.3773803, 1914.8514320055824, 1642.5936961069476, 3768.065851384943, 0.006344076, 0.12161532315340909]",eight
"[0.6837053, 712.1946031156903, 1478.0853138059492, 1335.7926802201705, 0.010874994, 0.0126953125]",eight
"[0.40509462, 1844.049175331035, 1600.4686481580168, 3242.7046342329545, 0.03475754, 0.12739701704545456]",eight
"[0.48177984, 2240.295606153603, 1696.4465897904774, 4239.349365234375, 0.0059991647, 0.16890092329545456]",eight
"[0.5973561, 2039.6162168273236, 1677.5684262903299, 3737.9683061079545, 0.010608627, 0.13388893821022727]",eight
"[0.28266385, 1908.9464712905021, 1735.4295662093018, 3864.4758744673295, 0.0123391505, 0.0960693359375]",eight
"[0.50764817, 2174.7958596057147, 1805.9810339810488, 4443.670099431818, 0.02159233, 0.14985795454545456]",eight
"[0.38899982, 2796.9803620886137, 2344.944043984989, 5687.946666370739, 0.039145116, 0.1422452059659091]",eight
"[0.32661247, 1794.8975611190936, 1708.4235202961427, 3900.9355024857955, 0.045764808, 0.09600275213068182]",eight
"[0.40329686, 3063.8637881863488, 1290.9121399641094, 4258.435613458807, 0.0056784917, 0.28541148792613635]",eight
"[0.49502563, 1647.3512229568885, 1640.2148653372817, 3590.906316583807, 0.103480525, 0.08571555397727272]",eight
"[0.29882652, 2288.4861246964206, 1627.093393889726, 4176.70731977983, 0.02033831, 0.2576904296875]",eight
"[0.62289286, 2450.107139428255, 1957.173638046868, 4750.090026855469, 0.0026498465, 0.105133056640625]",eight
"[0.445005, 2150.480170996211, 1786.758970564841, 4247.179620916193, 0.0051563564, 0.10645640980113637]",eight
