"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.45746967, 1692.1578595013214, 1606.7579755623228, 3428.6732066761365, 0.047450792, 0.07855779474431818]",nine
"[0.4876383, 1221.3512474214428, 1464.4657312741356, 2537.002840909091, 0.038999792, 0.05495383522727273]",nine
"[0.3462813, 1584.2733666426955, 1595.900981788445, 3178.839111328125, 0.026394514, 0.08362926136363637]",nine
"[0.36849546, 1154.7711905022772, 1285.8419122517225, 2319.2238547585225, 0.067045644, 0.05489834872159091]",nine
"[0.31892073, 1512.5927272095985, 1609.6143324794064, 3244.4175026633525, 0.024924396, 0.044600053267045456]",nine
"[0.31815565, 1566.8227317391372, 1527.3566474440515, 3060.406494140625, 0.032922383, 0.08607066761363637]",nine
"[0.51594335, 957.3197966856343, 1207.2304404898148, 1793.6179421164773, 0.054746054, 0.039240056818181816]",nine
"[0.38105145, 1404.530023996736, 1523.7475206595684, 3017.8294788707385, 0.07560939, 0.06931374289772728]",nine
"[0.3368655, 2478.168536118602, 1919.2549617842562, 4901.250665838068, 0.06542924, 0.16493918678977273]",nine
"[0.34750727, 1353.7843690629993, 1336.9890397588151, 2524.76806640625, 0.045673486, 0.056318803267045456]",nine
"[0.32906407, 1131.615796971668, 1561.7884626303924, 2483.4145285866475, 0.017282583, 0.02679998224431818]",nine
"[0.29946715, 1481.871532516972, 1251.163294327934, 2731.5357555042615, 0.06944019, 0.09097567471590909]",nine
"[0.49593705, 1526.897063036463, 1670.111210675339, 3210.1601340553975, 0.00854355, 0.060469193892045456]",nine
"[0.31525934, 1059.3292026617232, 1311.0120269045865, 1842.8017356178977, 0.07662572, 0.054143732244318184]",nine
"[0.5305052, 2309.537942094635, 1649.5224507651271, 4113.331187855114, 0.010321767, 0.2796297940340909]",nine
"[0.46163145, 1345.4070150737896, 1334.2800964345986, 2679.660311612216, 0.016163725, 0.07176624644886363]",nine
"[0.41765454, 2100.6771567460164, 1678.376634782627, 4064.39208984375, 0.044867337, 0.14945845170454544]",nine
"[0.39858922, 1554.0124513768358, 1462.2210438894485, 2838.467684659091, 0.03407775, 0.09303977272727272]",nine
"[0.3823992, 1174.9951039320395, 1326.321202736526, 2427.623956853693, 0.12049926, 0.06345436789772728]",nine
"[0.36424488, 1358.7772020948298, 1565.2406601931166, 2925.579279119318, 0.0327488, 0.05716219815340909]",nine
"[0.32128793, 1444.4734158328959, 1685.321218685901, 3137.9749644886365, 0.014504883, 0.06874778053977272]",nine
"[0.5167427, 1969.3930090064932, 1803.158579709068, 4009.5803000710225, 0.0024886695, 0.10466974431818182]",nine
"[0.3671827, 1641.0583040784875, 1569.049025876471, 3282.1006081321025, 0.033672825, 0.09725674715909091]",nine
"[0.32568982, 1959.304400508333, 1781.2419828190357, 3999.3030894886365, 0.049286388, 0.10061922940340909]",nine
"[0.37882748, 1344.0304241391113, 1346.6427951425621, 2701.4382102272725, 0.029352462, 0.0596923828125]",nine
"[0.33078527, 1556.8047815474872, 1029.6772048408077, 2345.1615767045455, 0.052775476, 0.10223943536931818]",nine
"[0.34534448, 1492.3990469998018, 1630.076734866637, 3043.2778098366475, 0.06477691, 0.0673828125]",nine
"[0.4700571, 1452.770821835213, 1883.5197737995381, 3697.6547241210938, 0.008755474, 0.0423583984375]",nine
"[0.3769808, 1033.5658960042458, 1506.870175548913, 2217.4305308948865, 0.021634467, 0.034734552556818184]",nine
"[0.42120776, 2142.678029879652, 1968.8917097399674, 4532.47665777439, 0.00057290285, 0.09425019054878049]",nine
"[0.35255295, 1000.7924035280503, 878.2051591976015, 1575.1048694957387, 0.0506058, 0.06939142400568182]",nine
"[0.37741852, 1427.1817512707212, 1681.0649662430515, 3086.8336070667615, 0.022666596, 0.048284357244318184]",nine
"[0.31898442, 1085.8515478403094, 1359.868140731982, 2199.5677601207385, 0.09594977, 0.044011896306818184]",nine
"[0.4912061, 2251.943869641273, 1738.7237449777156, 4305.536358173077, 0.013161917, 0.20645532852564102]",nine
