"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.36458683, 912.0776603177554, 1360.9310576846087, 1677.6322798295455, 0.045149013, 0.028764204545454544]",no
"[0.3956004, 1280.2702624931724, 1486.8284749514655, 2714.1623757102275, 0.056290302, 0.055120294744318184]",no
"[0.346934, 1613.892033870442, 1523.3393211689263, 2978.433504971591, 0.015833307, 0.10746626420454546]",no
"[0.29305378, 1263.9163690448468, 1313.2696916641828, 2404.1331898082385, 0.067572676, 0.09458229758522728]",no
"[0.57885, 842.9492188251285, 1174.7477023545391, 1647.2900390625, 0.015182404, 0.03217892530487805]",no
"[0.49975827, 2004.8119634195, 1918.7426694475564, 4189.676180752841, 0.019307883, 0.09235174005681818]",no
"[0.4216839, 1763.2318108751197, 1564.153852758612, 3443.1102405894885, 0.026852744, 0.09193004261363637]",no
"[0.5981072, 1638.415506547552, 1613.083172363825, 3103.228204900568, 0.015844287, 0.08954412286931818]",no
"[0.45900542, 1527.618280052746, 1475.1140800366882, 2929.983797940341, 0.020240834, 0.0888671875]",no
"[0.3513023, 1214.6402069949274, 1432.8241038683693, 2474.6054909446025, 0.07936915, 0.05894886363636364]",no
"[0.38066748, 2189.1886204430125, 1961.4944121140898, 4482.331986860795, 0.06229719, 0.15699351917613635]",no
"[0.31688175, 1451.4825011107112, 1365.7945468556773, 2746.706875887784, 0.047188472, 0.07940118963068182]",no
"[0.3337258, 1387.4596844792645, 1307.832904465363, 2909.674072265625, 0.057459738, 0.11561168323863637]",no
"[0.28268114, 930.6187127284185, 1197.5332018597103, 1641.4173473011363, 0.08911877, 0.04296875]",no
"[0.45841473, 2098.347032332351, 1720.2866260348542, 3977.7698863636365, 0.010948931, 0.24802468039772727]",no
"[0.36551026, 1193.6709807178338, 1314.8727624094345, 2493.4470436789775, 0.026097639, 0.06113503196022727]",no
"[0.501771, 2135.1428203974947, 1805.0214559708913, 4336.982865767045, 0.016074104, 0.1612548828125]",no
"[0.48714793, 1345.0089350949472, 1386.740565132757, 2674.5217063210225, 0.029502565, 0.07700417258522728]",no
"[0.39418238, 1390.1570052994127, 1335.6112148698555, 2673.2982288707385, 0.11214436, 0.071044921875]",no
"[0.53713906, 2388.618561873077, 2107.9009351824798, 5039.258922230114, 0.017085733, 0.15036843039772727]",no
"[0.43864325, 1322.0594377687612, 1379.5606324825112, 2675.255792791193, 0.029317016, 0.072021484375]",no
"[0.3075481, 1463.4558054224162, 1060.7732170104698, 2323.8730690696025, 0.047717415, 0.08883389559659091]",no
