"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.48160386, 1119.3178550960429, 1505.2956335052777, 2201.77001953125, 0.0637181, 0.045243696732954544]",off
"[0.5329445, 1561.655909914665, 1653.851513168702, 3139.932528409091, 0.07129579, 0.06967995383522728]",off
"[0.52532476, 2529.1884905438155, 1835.204629666127, 4888.281804865057, 0.022405291, 0.2065096768465909]",off
"[0.4840919, 1739.600090467918, 1647.0984226997402, 3344.253262606534, 0.03138024, 0.11231578480113637]",off
"[0.4996813, 1877.6829757576504, 1650.4101797145813, 3599.960049715909, 0.039732404, 0.10686700994318182]",off
"[0.39505607, 1546.8940610328152, 1445.412910556735, 2820.3602183948865, 0.01917946, 0.09620250355113637]",off
"[0.59601116, 2165.3585276798653, 1814.6242630980712, 4185.026966441761, 0.096474916, 0.1435213955965909]",off
"[0.4239714, 2128.9070424182755, 1819.1698642004042, 4216.837380149148, 0.013450705, 0.11335893110795454]",off
"[0.3870505, 1904.710910357821, 1615.9621644954068, 3651.5907981178975, 0.047674168, 0.12494451349431818]",off
"[0.63581383, 1131.3928923156466, 1407.6778071401116, 2160.9058726917615, 0.03650709, 0.0484619140625]",off
"[0.68205386, 2166.163625184329, 1976.90615075879, 4652.150656960227, 0.014862806, 0.11813077059659091]",off
"[0.42806238, 2758.9763898581205, 2094.55917768369, 5543.086936257102, 0.06440499, 0.22322221235795456]",off
"[0.45235756, 2374.4486113064686, 1913.2791993100618, 4551.091419566761, 0.037262503, 0.14979137073863635]",off
"[0.33649978, 1735.637325022715, 1450.3556316976637, 3405.6718306107955, 0.020745145, 0.13353382457386365]",off
"[0.57550657, 2016.587189465775, 1871.9828534760074, 3999.547784978693, 0.0054173437, 0.09307306463068182]",off
"[0.3588391, 1628.3279461615386, 1545.887056961228, 2851.1918501420455, 0.04555485, 0.10823197798295454]",off
"[0.57751316, 2863.0633937053594, 1814.0075135117631, 5061.281516335227, 0.007414405, 0.33708052201704547]",off
"[0.4401212, 1648.0241182875686, 1555.8937658294126, 3238.5448109019885, 0.01178895, 0.10190651633522728]",off
"[0.42063844, 2390.787249577883, 1994.6240959461263, 4913.240744850852, 0.012418274, 0.1675137606534091]",off
"[0.5047991, 1932.0779682638886, 1707.261577802777, 3816.0261674360795, 0.061595406, 0.11726518110795454]",off
