"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.41482013, 939.7437911822326, 1398.626960385991, 1649.7369939630682, 0.049307764, 0.03623268821022727]",on
"[0.56220317, 1182.8085028828405, 1420.248691726999, 2627.295476740057, 0.07349337, 0.04580965909090909]",on
"[0.37853363, 1248.487743220164, 1439.8666228345269, 2616.7735706676135, 0.06413463, 0.04799582741477273]",on
"[0.3390338, 1739.9002010239155, 1578.4986102739538, 3040.096768465909, 0.02963699, 0.10692249644886363]",on
"[0.38280973, 1040.6545113189795, 1321.5574674805596, 2255.358331853693, 0.04883255, 0.03834117542613636]",on
"[0.60004485, 1764.525675154607, 1966.581948012113, 4102.564586292614, 0.016698696, 0.059758966619318184]",on
"[0.618218, 790.2500504427269, 1138.6878740830084, 1457.406338778409, 0.021858962, 0.033380681818181816]",on
"[0.3622162, 1630.4763413863823, 1485.647925083661, 2967.666903409091, 0.026002366, 0.08237526633522728]",on
"[0.5370198, 857.5843279014297, 1303.2499799430518, 1499.0045720880682, 0.03098445, 0.025612571022727272]",on
"[0.3864375, 1432.5846429817395, 1627.5062965339132, 3015.871914950284, 0.07291283, 0.07268732244318182]",on
"[0.3652754, 2361.1308582809756, 1882.6684409756745, 4732.166082208807, 0.08333692, 0.1800204190340909]",on
"[0.29947054, 1476.68073031444, 1452.5380081248768, 2925.0898881392045, 0.07011094, 0.06697221235795454]",on
"[0.30882284, 1703.6928043886494, 1446.4914217986252, 3429.407293146307, 0.047398385, 0.11186079545454546]",on
"[0.29637638, 1453.825989061275, 1626.246158536048, 2931.207275390625, 0.07045292, 0.07698197798295454]",on
"[0.44544625, 1143.138847657779, 1074.2825000463015, 2098.7532182173295, 0.028951054, 0.07557262073863637]",on
"[0.47679803, 1442.8749336505366, 1425.2917036778445, 2577.6222922585225, 0.0832876, 0.08297452059659091]",on
"[0.37406144, 1390.9979048479358, 1615.7449465691568, 3120.1121937144885, 0.027373083, 0.06248890269886364]",on
"[0.32583302, 1686.8710683785912, 1490.8685551481603, 3182.998934659091, 0.05331792, 0.10635653409090909]",on
"[0.36603385, 1445.0874684845035, 1513.8247493536232, 2847.76611328125, 0.025977649, 0.07248757102272728]",on
"[0.31290308, 1480.4771777426784, 1014.2629494106383, 2254.6242453835225, 0.04704821, 0.09126420454545454]",on
"[0.36721057, 1473.7211311930123, 1712.003576608529, 3240.7470703125, 0.04615792, 0.06453080610795454]",on
"[0.40937436, 1035.4275526904576, 1547.6542036888925, 2270.7741477272725, 0.08377929, 0.03636585582386364]",on
"[0.32117158, 1026.8293889759277, 882.1120993025925, 1656.588467684659, 0.047366247, 0.06558504971590909]",on
"[0.42580014, 1325.7383794305815, 1658.20134579494, 2932.430752840909, 0.016983807, 0.04750754616477273]",on
"[0.60454154, 1322.7290364594141, 1575.1650474048295, 2643.20068359375, 0.020592041, 0.0524749755859375]",on
"[0.3320372, 1064.9573331298334, 1465.4094215985149, 2181.704989346591, 0.10821822, 0.04063831676136364]",on
"[0.48166475, 1132.4472995717194, 1494.2402075687858, 2506.0546875, 0.008561383, 0.024297805059523808]",on
"[0.34398037, 1063.833953840703, 1227.510588709178, 1705.7722611860795, 0.07721425, 0.05001553622159091]",on
"[0.54566705, 2248.4128116475904, 1819.3986525785826, 4565.0390625, 0.0041113403, 0.13894900760135134]",on
"[0.26888824, 1422.258994629957, 1336.1925543753332, 2599.4001908735795, 0.08556085, 0.08168723366477272]",on
"[0.59109414, 1554.656947451245, 1737.19534200607, 3457.302579012784, 0.023289109, 0.05343350497159091]",on
"[0.44205955, 1555.7833217731013, 1434.266828200003, 2964.730557528409, 0.023618447, 0.10332697088068182]",on
"[0.3808083, 1623.0088365083277, 1402.6719265242248, 3125.250799005682, 0.02490352, 0.10196200284090909]",on
"[0.56412244, 1144.385765137031, 1613.5603614443805, 2856.5751509232955, 0.18975653, 0.04471102627840909]",on
"[0.4101207, 1332.3688400876408, 1445.604809941709, 2675.0110973011365, 0.090184964, 0.06720525568181818]",on
"[0.4194534, 1832.5288074004798, 1470.024371938262, 3394.171142578125, 0.02052285, 0.11591131036931818]",on
"[0.4067027, 1586.148323689487, 1461.6085856932982, 2906.2483354048295, 0.018925766, 0.08638139204545454]",on
"[0.45017993, 1804.1544077459134, 1587.6294415599973, 3490.3364701704545, 0.015337518, 0.10181773792613637]",on
"[0.44226098, 1553.4822973337023, 1674.0220446148703, 3449.227627840909, 0.002047421, 0.07719282670454546]",on
"[0.4611745, 2091.707821557017, 1748.3818151359162, 4287.554376775568, 0.024118446, 0.17041015625]",on
"[0.49925753, 2058.8500236502896, 1876.5387004395845, 4300.033846768466, 0.031661086, 0.09576970880681818]",on
"[0.35576537, 1304.7221565251841, 1258.7001690886025, 2393.3665882457385, 0.034031574, 0.07410777698863637]",on
"[0.2334452, 957.2342860213091, 1189.524265924292, 1662.7058549360795, 0.0540947, 0.03452370383522727]",on
"[0.381487, 709.5179804319874, 1176.4142851877305, 1197.2950328480113, 0.02260241, 0.023115678267045456]",on
"[0.40242365, 1213.0290204976454, 1283.661608690527, 2274.689275568182, 0.13096097, 0.053156072443181816]",on
"[0.45351383, 861.0334003538949, 1210.6193978946724, 1370.2947443181818, 0.0639249, 0.03396883877840909]",on
"[0.3783193, 1874.9807899043224, 1664.4768344306524, 3613.9076926491475, 0.07269919, 0.10000887784090909]",on
"[0.48488635, 1805.5187398863736, 1450.552280896584, 3357.711514559659, 0.06311147, 0.1294833096590909]",on
"[0.4794046, 2019.098240052312, 1558.5608001784306, 3757.820012019231, 0.021308387, 0.11184144631410256]",on
"[0.3331035, 1420.8878152254472, 1178.6480715783416, 2576.154119318182, 0.0968659, 0.08672540838068182]",on
"[0.522563, 1799.7049368665453, 1597.8862525510945, 3504.52880859375, 0.010837194, 0.12253639914772728]",on
"[0.3666383, 1656.2784157633762, 1538.0759801352353, 3363.5842063210225, 0.01582521, 0.09307306463068182]",on
"[0.541117, 2007.84677198451, 1682.754847695012, 4009.8249955610795, 0.004785439, 0.19871937144886365]",on
"[0.3796549, 1526.3991326043629, 1351.081800828162, 2867.831143465909, 0.011966488, 0.10240589488636363]",on
"[0.48614392, 1631.460292257702, 1517.7369450569654, 3465.622225674716, 0.06174315, 0.11644398082386363]",on
"[0.31526536, 2778.2530235514882, 1589.9795123078102, 4361.20771928267, 0.0064886506, 0.23586203835227273]",on
"[0.4198763, 2161.54707958074, 1615.590843959585, 3948.1617320667615, 0.012982973, 0.2733709161931818]",on
"[0.51142323, 2037.0852945346144, 1617.2439080234474, 3696.1253773082385, 0.01090168, 0.14031427556818182]",on
"[0.5711407, 2566.1706077845997, 1902.9598499706426, 4881.026299055233, 0.007718806, 0.20016124636627908]",on
"[0.35122126, 933.6525805328026, 1212.6708299659429, 1635.7893510298295, 0.0499158, 0.041082208806818184]",on
"[0.505799, 1123.5967038052318, 1423.9441447836887, 2346.6297496448865, 0.024077006, 0.038396661931818184]",on
"[0.421103, 1407.3318583695261, 1525.55957082843, 2980.3910688920455, 0.02943878, 0.062433416193181816]",on
"[0.340678, 1532.086444690449, 1885.541059119755, 3874.753085049716, 0.032501463, 0.047429865056818184]",on
"[0.32909423, 1019.9127568267136, 1194.0914669198903, 1686.441317471591, 0.06748915, 0.0501708984375]",on
"[0.37163058, 2230.2347413018847, 1924.2622865566702, 4633.798495205966, 0.060304042, 0.11820845170454546]",on
"[0.51458424, 2024.3573598143769, 1652.3619544808746, 3457.547274502841, 0.04786259, 0.06606223366477272]",on
"[0.46458116, 1983.831320784426, 1879.5269435072548, 4108.19258256392, 0.07764636, 0.1221923828125]",on
"[0.34537628, 1830.1921864916806, 1614.4307985857743, 3440.9079811789775, 0.059845928, 0.11173872514204546]",on
"[0.48358604, 1953.5289916585716, 1773.3383076054517, 3931.5224387428975, 0.10431883, 0.18759987571022727]",on
"[0.4934779, 1613.3328638479904, 1541.3279133757692, 3442.620849609375, 0.0561399, 0.10151811079545454]",on
"[0.3078558, 1461.712850643108, 1068.5436582881994, 2234.314519708807, 0.10187394, 0.11457963423295454]",on
"[0.664268, 2752.5215822893197, 2115.713812092389, 5412.908935546875, 0.0055725058, 0.18678977272727273]",on
"[0.3324106, 1055.367350497173, 1343.4471705787616, 2316.5322043678975, 0.051605567, 0.033613725142045456]",on
"[0.3776924, 2182.4538912978574, 1628.1481845413919, 3884.8974609375, 0.023320276, 0.17664620535714284]",on
"[0.40206236, 1485.0415835207373, 1420.931779149107, 2908.5774739583335, 0.03547037, 0.08002387152777778]",on
"[0.36890566, 1513.8307913692943, 1336.9061046926706, 2369.875821200284, 0.033538844, 0.10420365767045454]",on
"[0.3974354, 1578.6716004533075, 1887.9448158898326, 3666.5172230113635, 0.025676172, 0.035111860795454544]",on
"[0.41423514, 1435.0457611067118, 1320.897998911758, 2727.1312366832385, 0.07810553, 0.08137650923295454]",on
"[0.38480726, 1778.6572882596386, 1708.326553003798, 3800.0851514862807, 0.04749414, 0.09532202743902439]",on
"[0.504818, 2468.1162772319663, 1866.1552514074265, 4737.3046875, 0.04111173, 0.11873570884146341]",on
"[0.51160544, 2051.830676154833, 1892.6100616942188, 4396.688565340909, 0.02281525, 0.09261807528409091]",on
"[0.3086178, 1888.120843536646, 1525.0745232625004, 3397.8415749289775, 0.025342816, 0.11882990056818182]",on
"[0.40493822, 1730.8064422720686, 1451.357013060313, 2848.989590731534, 0.07421878, 0.12202592329545454]",on
"[0.43568766, 2263.8076080142105, 1565.6241631662597, 3886.987859552557, 0.036280464, 0.15712668678977273]",on
"[0.4156079, 1239.0776740189804, 1505.8890890687692, 2762.856778231534, 0.031227993, 0.043212890625]",on
"[0.6487065, 1025.8831891593165, 1778.1677299525795, 2719.223394626524, 0.022634089, 0.0032393292682926828]",on
"[0.43990374, 1333.6702167295834, 1658.4235518605908, 2668.893710049716, 0.003212887, 0.05247913707386364]",on
"[0.4689038, 1226.086839867079, 1503.610421845499, 2436.3922119140625, 0.030965006, 0.041178385416666664]",on
"[0.40893823, 2754.2902891529916, 2084.8176162857394, 5432.239879261364, 0.00029400107, 0.19959605823863635]",on
"[0.42580307, 2322.07481903283, 1697.5461094030513, 4310.311057350852, 0.003273336, 0.22993607954545456]",on
"[0.46893516, 1126.212129457102, 1387.3705529495537, 2082.3586203835225, 0.040626995, 0.06130149147727273]",on
"[0.15826829, 4005.776760280781, 2002.995297294605, 6005.316716974432, 0.13540839, 0.2444735440340909]",on
"[0.3628734, 1131.5198686423582, 1583.9783010480803, 2642.7112926136365, 0.0062812, 0.03452370383522727]",on
"[0.37268916, 1577.3177866518872, 1857.1565381412865, 3711.8586359797296, 0.0547457, 0.03614600929054054]",on
"[0.52765256, 1823.3485830300458, 1849.8037311671198, 4094.4896351207385, 0.028746342, 0.07708185369318182]",on
"[0.5025621, 1004.0182137481228, 1337.369596751308, 1910.8270818536932, 0.024319243, 0.041071111505681816]",on
"[0.48958525, 1396.4232538900296, 1484.252247496584, 2768.9741654829545, 0.053247545, 0.07919034090909091]",on
"[0.5963493, 1067.8553130912853, 1365.8383692224236, 2131.787109375, 0.012148093, 0.04439603365384615]",on
"[0.5674932, 725.9344778744143, 977.5630443191723, 1223.477450284091, 0.061852988, 0.04056063565340909]",on
"[0.5476618, 2101.0589367762354, 1702.4192412328555, 4082.010165127841, 0.043060843, 0.21410023082386365]",on
