"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.4809407, 1914.0478813896195, 1747.3302702150866, 3754.607599431818, 0.025307419, 0.11921830610795454]",one
"[0.42476436, 1243.4018046635874, 1535.8644105822002, 2718.811590021307, 0.042170078, 0.047651811079545456]",one
"[0.4511171, 1237.3807157431454, 1540.6446760056665, 2738.1425337357955, 0.02235111, 0.049072265625]",one
"[0.35292116, 1042.6830746046978, 1306.3831294139227, 2189.779940518466, 0.046099793, 0.039384321732954544]",one
"[0.39558262, 1487.8979049927664, 1649.7264452543607, 3091.7275168678975, 0.050438132, 0.06647283380681818]",one
"[0.3979577, 1652.2537908968677, 1555.3139055886584, 3153.390780362216, 0.022985594, 0.07857998934659091]",one
"[0.31189936, 1604.7263090261374, 1551.5866442838594, 3115.2182839133525, 0.023614688, 0.09121981534090909]",one
"[0.48676577, 1908.612307879721, 1894.4267323797792, 4153.461248224432, 0.019815313, 0.09540349786931818]",one
"[0.3901099, 1185.2259658611206, 1499.2569976705636, 2391.8984153053975, 0.071456, 0.054398970170454544]",one
"[0.30535877, 1408.3954243164296, 1515.9211394717277, 2998.49853515625, 0.08902215, 0.06678355823863637]",one
"[0.34261137, 1572.0197004507509, 1356.9482486140862, 2896.9499067826705, 0.060196567, 0.081787109375]",one
"[0.5263709, 903.8497609723983, 1292.547845686729, 1733.1781560724432, 0.024175365, 0.02569025213068182]",one
"[0.35915628, 859.4452988556842, 1011.3610770681385, 1571.4344371448863, 0.055674158, 0.060724431818181816]",one
"[0.5244157, 1279.7798158877677, 1621.290821788645, 2898.4180797230115, 0.011567204, 0.04026100852272727]",one
"[0.32157332, 857.772817457511, 1099.936065304349, 1612.5432794744318, 0.06364363, 0.039794921875]",one
"[0.43971077, 2237.5633166204852, 1747.6147450789088, 4283.149857954545, 0.008550643, 0.2946555397727273]",one
"[0.4380125, 1518.9876410636678, 1469.0485089884899, 3250.5348899147725, 0.01977655, 0.09123091264204546]",one
"[0.48660174, 2228.8853343944425, 1697.9863017248424, 4226.62519975142, 0.016614096, 0.15123401988636365]",one
"[0.47061148, 1199.309281435694, 1371.251054525959, 2566.8556906960225, 0.088547006, 0.058049982244318184]",one
"[0.54117155, 1828.5560447777143, 1881.310371269565, 3978.25927734375, 0.0018669083, 0.08863414417613637]",one
"[0.35872638, 1169.7125305969296, 1380.9708074436724, 2420.2830921519885, 0.0736185, 0.04366787997159091]",one
"[0.35714763, 1802.4822855286466, 1554.0678009780981, 3510.4015003551135, 0.041824136, 0.10945268110795454]",one
"[0.44328332, 1505.8486801618442, 1588.1708673695634, 3234.3849875710225, 0.016477354, 0.08339621803977272]",one
"[0.47219214, 1394.4209747112266, 1346.9382211625607, 2764.080255681818, 0.037485305, 0.08091042258522728]",one
"[0.2882894, 1441.2089321028582, 1078.759888538696, 2260.4969371448865, 0.04563888, 0.08357377485795454]",one
"[0.3904205, 1206.9898940461535, 1596.0348803424347, 2681.3731800426135, 0.055198587, 0.04671963778409091]",one
"[0.3977794, 887.9418219569576, 1403.012021344892, 1763.2757013494318, 0.022355814, 0.02802068536931818]",one
"[0.47222993, 1394.0598405750843, 1447.705855200088, 2855.1069779829545, 0.029396342, 0.07533957741477272]",one
"[0.30033475, 1054.4468233679788, 931.0620549050453, 1718.2517311789773, 0.07222523, 0.06854802911931818]",one
"[0.3642133, 1347.6358392562138, 1751.2823313431682, 3240.502374822443, 0.017053472, 0.040949041193181816]",one
"[0.31610155, 950.6446740415436, 1144.7727175977402, 1840.1100852272727, 0.12133345, 0.044145063920454544]",one
"[0.36584342, 1273.7330767071019, 1307.230779430975, 2425.899152057927, 0.045459133, 0.06781154725609756]",one
"[0.43320072, 1125.7952491801418, 1471.5293806516338, 2380.642422762784, 0.011207384, 0.024158824573863636]",one
"[0.6058278, 539.8062520249076, 1138.3077921056504, 825.8472789417614, 0.014237514, 0.013527610085227272]",one
"[0.3395189, 1022.581102586115, 1297.8606099257051, 1916.6997736150568, 0.05500956, 0.08146528764204546]",one
"[0.4223935, 1651.0409992534594, 1501.416694433744, 3096.1320356889205, 0.005729777, 0.11295942826704546]",one
"[0.23229985, 1298.729500808534, 1419.3579839521904, 2522.5658069957385, 0.072231136, 0.05288973721590909]",one
"[0.3882798, 1261.7634117667508, 1421.8344929184304, 2561.4723899147725, 0.011854585, 0.06252219460227272]",one
"[0.4987586, 1913.7592987274236, 1779.6816626338607, 3989.7599653764205, 0.009257543, 0.11241566051136363]",one
"[0.43554705, 1717.4482250490112, 1561.9902868491054, 3395.394620028409, 0.0113209, 0.11520108309659091]",one
"[0.59169894, 1410.6618156007444, 1779.9374078889039, 3256.206805889423, 0.0054706587, 0.04448367387820513]",one
"[0.40977663, 1478.236826563176, 1300.1648857288435, 2696.5443004261365, 0.037617095, 0.08713600852272728]",one
"[0.38229114, 1746.0517111248662, 1587.019289545586, 3434.790593927557, 0.016371086, 0.09033203125]",one
"[0.45300314, 2029.1328790979203, 1773.8092656278889, 4170.834628018466, 0.019182963, 0.17540394176136365]",one
"[0.39809382, 1153.083690129682, 965.5455705466112, 1898.5923073508523, 0.022770477, 0.07174405184659091]",one
"[0.5120833, 1984.134544016907, 2033.9901241195803, 4382.496226917614, 0.015358449, 0.059392755681818184]",one
"[0.5225202, 2189.8864702579394, 1791.2953912900812, 4214.248160428779, 0.013915003, 0.15535292514534885]",one
"[0.42150202, 1723.1091112014096, 1560.4107664375595, 3273.5362659801135, 0.029954446, 0.09309525923295454]",one
"[0.34056836, 1163.1584009911276, 1255.0537716603383, 2166.778564453125, 0.027417498, 0.06327681107954546]",one
"[0.23603673, 826.1120045896961, 1152.3424263017848, 1344.601717862216, 0.033567384, 0.029196999289772728]",one
"[0.41905317, 836.0074169013318, 1062.3600489022801, 1347.5380637428977, 0.026629366, 0.04458895596590909]",one
"[0.32675615, 1547.8181316034588, 1401.8695339541162, 3060.17578125, 0.19281633, 0.08623046875]",one
"[0.41870224, 1081.483990028295, 1088.043714707249, 1957.0745294744318, 0.08158747, 0.061767578125]",one
"[0.48698553, 978.7504675966378, 1431.0461208995353, 1992.8000710227273, 0.010337501, 0.0352783203125]",one
"[0.45150432, 846.4510935843319, 1264.7903600598163, 1407.9778497869318, 0.06146836, 0.030928178267045456]",one
"[0.33951, 1705.0317440967553, 1547.1416735753055, 3331.2844016335225, 0.07007485, 0.10035289417613637]",one
"[0.44555664, 2195.0814238221906, 1549.0466464550934, 4033.7486853966348, 0.084936544, 0.16090745192307693]",one
"[0.34782583, 965.3355507723539, 1017.6716943897435, 1888.070401278409, 0.05727793, 0.056074662642045456]",one
"[0.492172, 1835.11389521084, 1662.0514254426887, 3650.6120161576705, 0.00838809, 0.1187744140625]",one
"[0.44043353, 1639.9985998534057, 1603.0655393246304, 3510.6461958451705, 0.028855436, 0.16664817116477273]",one
"[0.40799963, 1415.4130383791141, 1311.2424952090557, 2738.876620205966, 0.02228695, 0.11782004616477272]",one
"[0.39589155, 1016.8303248238773, 1277.083337656945, 1911.07177734375, 0.0298675, 0.04587624289772727]",one
"[0.20170633, 274.7309209528566, 383.3493905180554, 406.1945134943182, 0.009347956, 0.019886363636363636]",one
"[0.34994212, 845.8618729369653, 998.5419552889605, 1388.6469060724432, 0.017382674, 0.042646928267045456]",one
"[0.37499815, 1046.9015459517318, 1268.5449186746473, 1920.370205965909, 0.06803319, 0.054243607954545456]",one
"[0.5354762, 1033.6872077521473, 1430.2351668727777, 2245.3258167613635, 0.021746157, 0.03262606534090909]",one
"[0.43093157, 1513.8209441162842, 1658.5588337681452, 3140.1772238991475, 0.0043855873, 0.14375443892045456]",one
"[0.26326802, 1408.5748674849494, 1537.046371044132, 3036.426336115057, 0.029399209, 0.06704989346590909]",one
"[0.2848628, 1015.3712239271573, 1218.7817775810402, 1757.4030095880682, 0.06458477, 0.04868386008522727]",one
"[0.32577407, 1677.7028507517136, 1410.336921691093, 3034.958163174716, 0.029867196, 0.09196333451704546]",one
"[0.38531932, 1799.94991469297, 1734.9545756639368, 3643.271151455966, 0.044630796, 0.10719992897727272]",one
"[0.43354785, 1939.677809678657, 1820.6345953723844, 3918.5535777698865, 0.07317905, 0.12104936079545454]",one
"[0.38245448, 1474.7220206266977, 1513.6588232845904, 2771.9105113636365, 0.054177035, 0.08160955255681818]",one
"[0.4826536, 1866.895086769721, 1648.4758074603553, 3621.493252840909, 0.09475085, 0.1759033203125]",one
"[0.39989915, 1411.2957157847422, 1453.561329133831, 3155.3483442826705, 0.052184522, 0.07461825284090909]",one
"[0.53415877, 1866.2111547453387, 1478.4080919334895, 3477.6123046875, 0.013959039, 0.15317604758522727]",one
"[0.32223246, 1659.312078248198, 1150.4622375115061, 2644.5465087890625, 0.15462993, 0.117919921875]",one
"[0.32813516, 1037.9589796047856, 1296.2875006480351, 1987.906161221591, 0.04443414, 0.043889825994318184]",one
"[0.33188105, 1532.474728967791, 1289.317125026301, 2762.3673872514205, 0.035154145, 0.14289994673295456]",one
"[0.23579846, 1736.037510301759, 1790.9816948366797, 3793.5141823508525, 0.027084006, 0.10806551846590909]",one
"[0.4094923, 1490.489950429053, 1490.0404143001977, 3160.9944661458335, 0.026628433, 0.07848668981481481]",one
"[0.30100176, 1341.5330059416897, 1356.8861695566318, 2471.179754083807, 0.007057971, 0.07793634588068182]",one
"[0.3222458, 2109.726135098068, 1297.0642300839017, 3361.626642400568, 0.03149547, 0.20493386008522727]",one
"[0.39785737, 1288.0520847826347, 1322.711241212508, 2549.237615411932, 0.06864751, 0.06130149147727273]",one
"[0.33401978, 1594.1118733246824, 1775.3416102591739, 3729.3851412259614, 0.04639892, 0.06390224358974358]",one
"[0.5138822, 1123.6900843441708, 1575.7150608456868, 2499.5644309303975, 0.029942036, 0.03909579190340909]",one
"[0.3248784, 1168.3482238366223, 1687.5105576032247, 2572.2389914772725, 0.041309144, 0.03455699573863636]",one
"[0.37777403, 2075.9497443379355, 1791.2999212085829, 4138.779518821023, 0.01219429, 0.11894087357954546]",one
"[0.3735479, 1283.592285312923, 1640.1301981341117, 3258.365145596591, 0.009244245, 0.0379638671875]",one
"[0.4164548, 2110.654444660837, 2177.3154989838654, 4833.714710582386, 0.011523997, 0.051691228693181816]",one
"[0.41965088, 1211.3081066103161, 1593.2943734157304, 2652.0097212357955, 0.17740591, 0.041681463068181816]",one
