"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.56157833, 1329.7016025096136, 1574.4108718856885, 2927.047452059659, 0.05181029, 0.054487748579545456]",right
"[0.4382947, 1779.5697254747226, 1748.1813397998471, 3718.8820578835225, 0.028436897, 0.09881036931818182]",right
"[0.28842962, 1497.3330085741839, 1462.0741971628452, 2916.525545987216, 0.029236322, 0.09902121803977272]",right
"[0.59625936, 1893.15293668869, 1981.496347216761, 4249.137184836648, 0.0141779715, 0.07579456676136363]",right
"[0.47337875, 1926.1085472709194, 1783.318608628342, 3836.3358931107955, 0.045088377, 0.10693359375]",right
"[0.49248192, 2312.715869479385, 1687.3486384791554, 4254.765181107955, 0.023440404, 0.1543856534090909]",right
"[0.5705658, 1437.836774558664, 1664.830918792876, 3125.006103515625, 0.019214045, 0.052789861505681816]",right
"[0.31843373, 1260.7082672630843, 1445.030640224034, 2430.315607244318, 0.07097263, 0.05613014914772727]",right
"[0.3721511, 2238.5852373966186, 1384.7874429127214, 3508.688631924716, 0.061616812, 0.168701171875]",right
"[0.44174924, 1031.3164923499937, 1337.371877877245, 2023.1423117897727, 0.016236799, 0.03494540127840909]",right
"[0.3464966, 1067.5990155712188, 1374.6752631800844, 2172.8959517045455, 0.047940694, 0.040338689630681816]",right
"[0.25319284, 1153.581890680827, 1246.6231511913857, 2230.8887828480115, 0.11520274, 0.05271218039772727]",right
"[0.44305304, 2831.0117167066855, 1787.4906551001047, 4823.682195490057, 0.006158037, 0.36255992542613635]",right
"[0.43609098, 1758.8276897193352, 1591.3338938169386, 3677.2838245738635, 0.019758262, 0.09987571022727272]",right
"[0.52146393, 2094.826350256273, 1705.2607747110123, 4082.010165127841, 0.006304517, 0.14115767045454544]",right
"[0.38368583, 1219.3901047804575, 1520.0064878840321, 2519.629461115057, 0.040546387, 0.04531028053977273]",right
"[0.5025648, 2074.869620905906, 1855.0141010092668, 4325.237482244318, 0.003215451, 0.11888538707386363]",right
"[0.3267557, 1567.0569085899112, 1645.7458243776136, 3205.510919744318, 0.052352667, 0.07106711647727272]",right
"[0.39873466, 1765.617531648522, 1688.714501499164, 3520.923406427557, 0.027553825, 0.08841219815340909]",right
"[0.36685187, 2044.585221411538, 1745.1162428459359, 4117.735706676136, 0.03574102, 0.1309481534090909]",right
"[0.5449331, 2056.2069510167316, 1846.7621758745945, 4281.192294034091, 0.0039605307, 0.12126020951704546]",right
"[0.46704596, 1639.3543237283907, 1514.752794339688, 3240.2576793323865, 0.028790586, 0.09633567116477272]",right
"[0.3505019, 1558.1167557878819, 1074.4113454422093, 2418.8149192116475, 0.04576541, 0.0948486328125]",right
"[0.3470352, 1454.1753497122472, 1599.2260818061911, 2904.046075994318, 0.08143225, 0.0693359375]",right
"[0.39968562, 1048.7502930906076, 1343.9257173888445, 1917.923251065341, 0.013888114, 0.052778764204545456]",right
"[0.47727346, 1581.755690708975, 1518.912776013257, 3273.7809614701705, 0.02062704, 0.09169699928977272]",right
"[0.3656807, 1175.5371039249226, 1169.9943349293253, 2247.772771661932, 0.070037775, 0.0655517578125]",right
"[0.6724557, 1163.7450539576546, 1667.4966896866463, 2658.3718039772725, 0.019971238, 0.016956676136363636]",right
"[0.51028985, 1815.0897915454786, 1792.1070195300747, 3733.8084827769885, 0.012297854, 0.08671431107954546]",right
"[0.539928, 1364.1729903865833, 1565.0076084097564, 2712.799072265625, 0.032756727, 0.05983189174107143]",right
"[0.33761048, 1595.8081100572824, 1531.8570779155637, 3315.3791947798295, 0.09756052, 0.0828857421875]",right
"[0.34451753, 2000.482810215596, 1407.1871864763293, 3232.672119140625, 0.05824496, 0.13273481889204544]",right
"[0.35237676, 1689.3305300414186, 1546.5971193425275, 3213.83056640625, 0.010348632, 0.10164018110795454]",right
"[0.32877123, 1877.8366339139866, 1611.9348188940728, 3388.787841796875, 0.05253365, 0.11320356889204546]",right
"[0.50446177, 1994.4649595612732, 1555.4107859142218, 3728.6698774857955, 0.004740137, 0.14752752130681818]",right
"[0.60500026, 2108.3074345903956, 1804.8843298968627, 4041.8404244087837, 0.00593967, 0.10957295185810811]",right
"[0.31160805, 1519.6947985976037, 1425.4761878526829, 2911.142245205966, 0.07736925, 0.07725941051136363]",right
"[0.4802699, 1976.8158071561963, 1663.1134073425235, 3983.397882634943, 0.029488523, 0.13459916548295456]",right
"[0.5033764, 1737.66878099679, 1578.9503743604516, 3530.4665305397725, 0.060641054, 0.11234907670454546]",right
