"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.40260252, 1340.0541397808565, 1641.0485588371716, 2774.846857244318, 0.03400352, 0.054498845880681816]",tree
"[0.47159144, 1585.2510262288538, 1599.2490115920737, 3193.0314497514205, 0.04421329, 0.06981312144886363]",tree
"[0.4404704, 2098.579445832407, 1836.3930799588918, 4394.241610440341, 0.024645275, 0.10475852272727272]",tree
"[0.42909783, 2305.651480393941, 1869.0893954834164, 4544.23994584517, 0.03217629, 0.15489612926136365]",tree
"[0.4289823, 2113.512189880592, 1840.9262004177474, 4292.203591086648, 0.04130684, 0.10722212357954546]",tree
"[0.33143395, 1937.356814583386, 1639.541376505921, 3752.6500355113635, 0.024083663, 0.123291015625]",tree
"[0.55541855, 1716.253479951729, 1684.6153984045488, 3436.992853338068, 0.02170766, 0.06541859019886363]",tree
"[0.4332256, 1877.2844853991692, 1721.7799389490062, 3838.7828480113635, 0.047021985, 0.10523570667613637]",tree
"[0.40370184, 2911.287879886829, 2041.7320462928524, 5407.770330255682, 0.052233532, 0.22765003551136365]",tree
"[0.3807394, 1567.8941248099568, 1637.861270216675, 3338.1358753551135, 0.018195227, 0.052534623579545456]",tree
"[0.55545694, 2064.8274386387675, 1829.3802269092062, 4174.749755859375, 0.007134536, 0.10492498224431818]",tree
"[0.44488725, 2357.7309836498102, 1834.6224273904177, 4509.737881747159, 0.021519808, 0.18105246803977273]",tree
"[0.37193704, 1568.78859203807, 1686.2690539534146, 3194.2549272017045, 0.03306663, 0.07176624644886363]",tree
"[0.49912772, 2136.8106448593553, 1943.229644056026, 4574.826882102273, 0.0021372742, 0.11543412642045454]",tree
"[0.40934938, 1538.1386659344932, 1517.6546483434147, 3000.945490056818, 0.020882204, 0.08121004971590909]",tree
"[0.5349661, 1669.8804633607872, 1742.5718683118566, 3421.8217329545455, 0.008527343, 0.06719415838068182]",tree
"[0.41506737, 1616.7875602968008, 1569.0025472552477, 3321.49658203125, 0.023372097, 0.09402743252840909]",tree
"[0.31514502, 1574.6515097062504, 1103.8674285947968, 2440.5928178267045, 0.047243893, 0.09778941761363637]",tree
"[0.3969671, 2040.2060845922567, 1904.5229702387915, 4116.756924715909, 0.009321693, 0.07735928622159091]",tree
"[0.35637844, 2566.048340821881, 1663.047964817741, 4336.982865767045, 0.016823642, 0.1717862215909091]",tree
"[0.45248383, 1708.483315555253, 2007.238668673039, 4239.713101773648, 0.009094644, 0.06655141469594594]",tree
"[0.46316767, 1617.942603647116, 1557.4753508900556, 3373.861416903409, 0.026955646, 0.09772283380681818]",tree
"[0.6203713, 1441.8629470045146, 1740.8633261477798, 3191.8079723011365, 0.020906098, 0.044256036931818184]",tree
"[0.45844033, 1747.6225141276307, 1910.8973364378778, 3978.7486683238635, 0.011540901, 0.0748291015625]",tree
"[0.5048109, 998.1213739386185, 1373.4061565475877, 2098.8539751838234, 0.03529419, 0.04207835477941176]",tree
"[0.49465144, 1626.3948261347111, 1695.7779549204483, 3508.443936434659, 0.05264385, 0.07454057173295454]",tree
"[0.3970034, 2198.435593492059, 1672.7617075089604, 4002.744613155242, 0.017003177, 0.1451140372983871]",tree
"[0.3530584, 1765.104616747947, 1541.6209787264568, 3329.816228693182, 0.04137102, 0.09543678977272728]",tree
"[0.48072377, 1987.8130581783143, 1655.8615977003153, 3854.9327503551135, 0.010386756, 0.11965110085227272]",tree
