"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.39748156, 1190.4626104936806, 1585.019323257116, 2389.6961558948865, 0.035123445, 0.04152610085227273]",two
"[0.3630579, 2732.756895334983, 1975.9494107080666, 4981.510786576705, 0.0340641, 0.1850918856534091]",two
"[0.6573613, 816.4256580099009, 949.0985697734523, 1434.649658203125, 0.061713483, 0.04056063565340909]",two
"[0.4407298, 1658.9824522750728, 1689.2049480592568, 3370.6803755326705, 0.062343217, 0.07515092329545454]",two
"[0.35845917, 901.3275365068386, 1180.8318096539845, 1773.3082164417613, 0.095866114, 0.03933993252840909]",two
"[0.55702084, 1467.0132838622285, 1697.0159128331645, 3128.4318403764205, 0.012808812, 0.0225830078125]",two
"[0.46891072, 2152.1955009313383, 1698.3963159668185, 3914.3937544389205, 0.020620374, 0.13221324573863635]",two
"[0.61562556, 1912.5929562578779, 1653.7166485076768, 3489.1300644985463, 0.017062198, 0.10490098110465117]",two
"[0.56166625, 1279.6886417237274, 1532.8293097775706, 2673.7876198508525, 0.031243443, 0.038130326704545456]",two
"[0.454885, 1647.849800776539, 1645.4468324008674, 3356.732732599432, 0.06156748, 0.09188565340909091]",two
"[0.37606934, 2493.065430495364, 1944.5379605373967, 4800.436123934659, 0.12885283, 0.18501420454545456]",two
"[0.3399051, 1836.3520025584485, 1627.388065210833, 3316.11328125, 0.061159313, 0.11297052556818182]",two
"[0.53489894, 1529.5325398751536, 1870.412209929066, 3499.6348987926135, 0.022150578, 0.04053844105113636]",two
"[0.21696651, 1011.5981491704962, 475.0630804798429, 1258.224209872159, 0.08090883, 0.08685857599431818]",two
"[0.6079188, 2278.4291895214014, 1985.4895564800493, 4732.166082208807, 0.02002389, 0.10758833451704546]",two
"[0.5687045, 1873.5712053035525, 1925.5684332573705, 4106.235018643466, 0.0064566527, 0.08001154119318182]",two
"[0.41791782, 1205.1811525547714, 1455.3659412580391, 2548.0141379616475, 0.03418099, 0.053156072443181816]",two
"[0.40555903, 1973.8701642528758, 1834.7493814420116, 4204.602605646307, 0.01932448, 0.09938742897727272]",two
