"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.494829, 2255.9775880193015, 1884.482678495249, 4667.811168323864, 0.020100834, 0.15531782670454544]",up
"[0.53960925, 1738.8174159788432, 1710.7973823699313, 3683.645907315341, 0.02093988, 0.0950927734375]",up
"[0.4635973, 2073.53697757281, 1737.7989565502373, 3857.6244007457385, 0.020921554, 0.15431906960227273]",up
"[0.36503068, 1378.3866963438063, 1626.6074763863267, 2930.2284934303975, 0.017467644, 0.05324485085227273]",up
"[0.5893638, 1139.1449205875701, 1366.3417327483883, 2400.9521484375, 0.02432165, 0.0482738597972973]",up
"[0.59463984, 2243.501574255159, 1945.7060925094136, 4642.118141867898, 0.024093896, 0.11918501420454546]",up
"[0.4908653, 1428.7130646659186, 1389.047130154325, 2650.5415482954545, 0.022373468, 0.08058860085227272]",up
"[0.35120052, 1836.245607593326, 1637.0399076674169, 3626.1424671519885, 0.03127322, 0.10985218394886363]",up
"[0.5932305, 934.2202115335488, 1384.843165160168, 1838.6419122869318, 0.025151651, 0.025479403409090908]",up
"[0.5663391, 1394.0249930591083, 1646.4879192290593, 2888.385564630682, 0.077487774, 0.07142223011363637]",up
"[0.34476125, 1731.2154663114575, 1605.5030131998603, 3331.5290971235795, 0.064840704, 0.06675026633522728]",up
"[0.39148954, 1864.864695127162, 1699.5396959644227, 3853.7092729048295, 0.037137296, 0.09959827769886363]",up
"[0.60854846, 1207.9442526539412, 1549.1985836683098, 2558.7807395241475, 0.021908615, 0.02886408025568182]",up
"[0.32572243, 1700.469964532864, 1368.5618022728524, 2904.046075994318, 0.036615174, 0.12532182173295456]",up
"[0.69236153, 2179.415252982979, 2023.1682805437422, 4763.242409446023, 0.015339115, 0.09053178267045454]",up
"[0.64236414, 1958.7854153150502, 2051.3180002464255, 4396.443869850852, 0.0037647544, 0.07296475497159091]",up
"[0.34530762, 1383.4397292544902, 1569.3603129515325, 2843.850985440341, 0.037074007, 0.06732732599431818]",up
"[0.4437835, 1534.0429838783691, 1471.263863380153, 3113.016024502841, 0.017176917, 0.07692649147727272]",up
"[0.56132936, 2407.7403307714453, 1926.6322874458092, 4814.383766867898, 0.005059094, 0.19406960227272727]",up
"[0.47669938, 1663.3944069184217, 1584.272213387874, 3127.2083629261365, 0.052835252, 0.09835537997159091]",up
"[0.5059061, 1861.4295247763737, 1796.0242574096344, 3789.84375, 0.0051308316, 0.10853160511363637]",up
"[0.5663187, 2003.8385299548331, 1890.7049650315441, 4311.045143821023, 0.0030448346, 0.11293723366477272]",up
"[0.43326932, 1743.0716384429013, 1747.5200994660217, 3745.7985617897725, 0.021995354, 0.08223100142045454]",up
"[0.35296133, 1812.1026517572973, 1740.097392521116, 3714.4775390625, 0.037188288, 0.10550204190340909]",up
"[0.474973, 2173.7815298964674, 1887.1012033575098, 4432.903497869318, 0.0037230572, 0.11856356534090909]",up
"[0.49050602, 1758.7372969006012, 1688.2977922023804, 3568.6390269886365, 0.019488303, 0.09783380681818182]",up
"[0.33567053, 1445.267068456649, 1092.6149437426545, 2271.0188432173295, 0.026221378, 0.07162198153409091]",up
"[0.47683057, 1087.6625113014063, 1361.3334917420054, 2240.1872114701705, 0.07745401, 0.04628684303977273]",up
"[0.43162486, 1033.0911086947972, 1454.3866678819145, 2165.310391512784, 0.02578154, 0.03919566761363636]",up
"[0.5563501, 2462.96993356423, 1933.6482420839639, 4817.900390625, 0.0006076683, 0.17313058035714285]",up
"[0.38796186, 1293.879800939631, 1189.7655078976386, 2257.8052867542615, 0.028211951, 0.09483753551136363]",up
"[0.44964734, 1584.0843508998382, 1834.157267267054, 3657.2187943892045, 0.013642204, 0.06204501065340909]",up
"[0.41102207, 1313.6818644100738, 1496.7212025869767, 2669.872492009943, 0.045171123, 0.05893776633522727]",up
"[0.46317732, 1587.0385391549464, 1356.542179970769, 2760.6545188210225, 0.027862066, 0.09642444957386363]",up
"[0.69574445, 980.567645439002, 1583.4465434164033, 2186.843594637784, 0.009932508, 0.01309481534090909]",up
"[0.42937994, 1219.2531789024126, 1466.9816413011229, 2337.576016512784, 0.025814516, 0.059248490767045456]",up
"[0.49188256, 2127.6946566755905, 1660.233621405918, 4063.6580033735795, 0.0068401676, 0.16466175426136365]",up
"[0.3321092, 1681.8860117084043, 1583.1309242809111, 3263.2590553977275, 0.032613497, 0.08542702414772728]",up
"[0.6943282, 1817.6032950096708, 1950.8626362297373, 4157.131680575284, 0.014106023, 0.05260120738636364]",up
"[0.45363957, 2018.4351536965887, 1672.3190705931222, 3961.005108173077, 0.038282275, 0.12993289262820512]",up
"[0.5127526, 1954.753198998915, 1680.0004372036828, 3808.929998224432, 0.008914007, 0.13266823508522727]",up
"[0.5005582, 1715.6704829344771, 1694.7486448155253, 3585.2783203125, 0.032023046, 0.09487082741477272]",up
"[0.30771327, 1285.587165128942, 1370.4223789232535, 2306.744384765625, 0.01424096, 0.06419788707386363]",up
"[0.4481664, 1802.3085127548206, 1658.1042262611502, 3454.855624112216, 0.0077416045, 0.10667835582386363]",up
"[0.38281378, 2050.0010424782854, 1722.250841442251, 3989.270574396307, 0.007288934, 0.11451305042613637]",up
"[0.23405269, 1601.4182417362717, 1804.9835213602908, 3684.624689275568, 0.0013222401, 0.07040127840909091]",up
"[0.4242125, 1452.2499062814916, 1548.2379242223592, 3144.5817427201705, 0.026458196, 0.06874778053977272]",up
"[0.4733648, 2111.6549054814695, 1814.8294906732967, 4435.10575727983, 0.010908574, 0.16295276988636365]",up
"[0.4218993, 2399.365083013989, 1730.2398124576735, 4422.381591796875, 0.019484518, 0.1765469637784091]",up
"[0.46630502, 1820.0885492019122, 1722.3206888025109, 3822.6329456676135, 0.042372316, 0.11095081676136363]",up
"[0.44007117, 1074.1507227018226, 1429.855804762295, 1885.378750887784, 0.013750416, 0.04201438210227273]",up
"[0.5707668, 895.8765947515607, 1437.4577307948064, 1849.4085138494318, 0.018144595, 0.024891246448863636]",up
"[0.35756665, 1560.2905316259335, 1552.3981917661133, 2952.2510875355115, 0.06537737, 0.09284002130681818]",up
"[0.62346154, 2105.016246505498, 1742.815915685904, 4270.670387961648, 0.03781704, 0.16261985085227273]",up
"[0.39843518, 1511.8678838222904, 1681.228886716307, 3544.658868963068, 0.028607635, 0.08155406605113637]",up
"[0.32597536, 2047.9381213867084, 1728.4489307753247, 4095.7131125710225, 0.009723916, 0.1386385830965909]",up
"[0.5289622, 2313.95036347298, 1724.7113377592061, 4318.386008522727, 0.01822882, 0.2511208274147727]",up
"[0.4745854, 2012.5534896456068, 1754.6623112391505, 4064.636785333807, 0.027324397, 0.12395685369318182]",up
"[0.4655666, 1346.4542002649653, 1393.6761337724877, 2520.852938565341, 0.020224107, 0.07427423650568182]",up
"[0.47367948, 969.3731233020525, 1602.3931757223688, 2298.914129083807, 0.011885384, 0.023304332386363636]",up
"[0.44792524, 2272.2752526957725, 1840.1227024846605, 4383.057236089939, 0.0029636882, 0.15358231707317074]",up
"[0.4206277, 1381.6778215773065, 1430.17531634283, 2784.8793723366475, 0.012850815, 0.11002974076704546]",up
"[0.47993538, 2152.006040735055, 1686.4324791738456, 3920.266446200284, 0.014306005, 0.14982466264204544]",up
"[0.32066756, 1171.0239001187006, 1377.9911424004843, 2134.234064275568, 0.060924806, 0.06015846946022727]",up
