"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.39130813, 954.0969763671553, 1284.451511398904, 1560.6678355823863, 0.0761326, 0.0450439453125]",wow
"[0.43199953, 1325.3223088319492, 1400.2418956724246, 2615.3053977272725, 0.07951339, 0.06269975142045454]",wow
"[0.40889016, 1543.0319084824541, 1485.865623968775, 2904.046075994318, 0.02884193, 0.09915438565340909]",wow
"[0.58597505, 810.987956216341, 1102.9143931126582, 1378.3696954900568, 0.020080958, 0.03395774147727273]",wow
"[0.44260368, 1606.9471220950138, 1614.9136556128863, 3155.3483442826705, 0.114733934, 0.08365145596590909]",wow
"[0.56073046, 1833.7701944034964, 1621.908888253491, 3607.5456099076705, 0.017574275, 0.08043323863636363]",wow
"[0.60201114, 849.3191391490112, 1298.9359769660985, 1502.9196999289773, 0.029134922, 0.0302734375]",wow
"[0.61956626, 1918.6300245402242, 1859.8470630676668, 4120.182661576705, 0.01954038, 0.10268332741477272]",wow
"[0.44218582, 1219.1821777358316, 1430.0675552765044, 2414.8997913707385, 0.086392194, 0.06202281605113636]",wow
"[0.36610055, 970.4618362672154, 1305.1420028389211, 1764.499178799716, 0.027695298, 0.034379438920454544]",wow
"[0.6093174, 1989.315885321214, 1852.4036859395442, 4313.002707741477, 0.03337118, 0.08250843394886363]",wow
"[0.5344298, 2358.6655522709098, 1738.4269814110753, 4405.008212002841, 0.0073209256, 0.2948330965909091]",wow
"[0.5082388, 2178.9360617518596, 1822.2549986682243, 4348.238858309659, 0.018529583, 0.1604336825284091]",wow
"[0.38184673, 1309.588908406221, 1523.9355771732648, 2670.1171875, 0.057077322, 0.05518687855113636]",wow
"[0.5251533, 1721.5254227338648, 1675.349892408218, 3634.4621138139205, 0.004409186, 0.09401633522727272]",wow
"[0.37514946, 1613.9038296063925, 1601.2860297673833, 3263.2590553977275, 0.038917616, 0.08451704545454546]",wow
"[0.48890552, 1546.5827744825501, 1715.485484624077, 3479.5698686079545, 0.011244999, 0.04855069247159091]",wow
"[0.32395178, 1372.3736115463691, 1015.5438485265677, 2178.5239479758525, 0.04775245, 0.07488458806818182]",wow
"[0.34986913, 1522.4516098122374, 1231.5784065369073, 2214.983575994318, 0.035461385, 0.11414683948863637]",wow
"[0.56159383, 1469.3204421355558, 1609.1183229435364, 3023.7021706321025, 0.0051561487, 0.06575150923295454]",wow
"[0.47383702, 1368.425282004882, 1343.906068617159, 2764.324951171875, 0.030653395, 0.07763671875]",wow
"[0.4146173, 873.509418264237, 1315.0730613768185, 1527.8786399147727, 0.056052484, 0.03182705965909091]",wow
"[0.5709142, 1460.3682368400914, 1505.9782295195512, 2650.924549932065, 0.031461414, 0.06744650135869565]",wow
"[0.4771143, 1055.6152031047807, 1415.3119055613972, 1886.1128373579545, 0.06353702, 0.040571732954545456]",wow
"[0.44519264, 1467.6936289105759, 1201.7912051860885, 2583.984375, 0.02933827, 0.09406072443181818]",wow
"[0.55308586, 646.2748308243943, 1059.8382849753025, 951.8654563210227, 0.017670138, 0.024869051846590908]",wow
"[0.44246143, 1696.8550148366955, 1398.475850137415, 2999.4773171164775, 0.008875698, 0.12035023082386363]",wow
"[0.46984044, 1465.2913176240847, 1252.62183234994, 2650.2968528053975, 0.023986984, 0.0970458984375]",wow
"[0.37871164, 1459.7067117828728, 1674.524244271494, 3632.259854403409, 0.11228468, 0.06451970880681818]",wow
"[0.343077, 1481.0830436004712, 1384.3826479648928, 2793.1990189985795, 0.023843354, 0.08290793678977272]",wow
