"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.3836924, 2560.210201731944, 1787.3667423137595, 4328.90791459517, 0.033731196, 0.1826171875]",zero
"[0.50674695, 1134.3886850974266, 1061.6659519843897, 1882.1977095170455, 0.10164439, 0.06467507102272728]",zero
"[0.35737675, 1955.6980868414785, 1698.4867064231148, 3723.775967684659, 0.044052653, 0.10508034446022728]",zero
"[0.35689557, 1198.393387058153, 1540.4427767148854, 2674.5217063210225, 0.06314988, 0.03599964488636364]",zero
"[0.5235972, 1070.6813551505336, 1329.5530117649755, 2288.147527521307, 0.021484464, 0.048517400568181816]",zero
"[0.34432173, 1810.750767523358, 1594.7506282910115, 3362.116033380682, 0.08919193, 0.09353915127840909]",zero
"[0.34787497, 2261.2198061201284, 1519.9980954449131, 3836.825284090909, 0.03273946, 0.1413241299715909]",zero
"[0.50160414, 1434.73208973554, 1408.7210983525, 2522.8105024857955, 0.033219747, 0.07420765269886363]",zero
"[0.28082392, 1560.661947372229, 1400.6781602458989, 2706.0874245383525, 0.13548961, 0.08059969815340909]",zero
"[0.29978567, 2536.76804669055, 1984.8268870888523, 4637.713623046875, 0.12802802, 0.17252974076704544]",zero
"[0.31918177, 2594.8712666315687, 1397.5301662806992, 3635.4408957741475, 0.067055754, 0.21870561079545456]",zero
"[0.34945777, 1135.7534331750428, 1415.1376674761736, 2407.0695356889205, 0.025219733, 0.03970614346590909]",zero
"[0.3485691, 1531.9160792132739, 1289.1865519041758, 2832.839688387784, 0.030349761, 0.10751065340909091]",zero
"[0.54798734, 2189.7128030093245, 1833.246250007325, 4179.398970170455, 0.02466801, 0.09604714133522728]",zero
"[0.28585893, 1211.188654315347, 1347.3382021296495, 2370.8546031605115, 0.06338223, 0.06070223721590909]",zero
"[0.4121095, 1340.0353291045178, 1192.0325845371817, 2333.905584161932, 0.029538225, 0.09330610795454546]",zero
"[0.40250397, 1473.1610218973665, 1552.7316243291389, 3206.4897017045455, 0.1391548, 0.06473055752840909]",zero
"[0.31221327, 1240.1125150596997, 1527.5552086906239, 2620.9333939985795, 0.050648853, 0.048151189630681816]",zero
"[0.53919095, 1951.814917729271, 1663.902784036717, 3658.197576349432, 0.012117986, 0.10536887428977272]",zero
"[0.39208707, 1378.0211268963687, 1507.174750386346, 2866.852361505682, 0.06784082, 0.053999467329545456]",zero
"[0.28098643, 1657.6441691061257, 1663.309860451756, 3344.253262606534, 0.026451496, 0.07587224786931818]",zero
"[0.31060678, 1928.4157070071235, 1495.6422222447443, 3486.910733309659, 0.103344366, 0.11819735440340909]",zero
"[0.39900196, 1595.5716966404352, 1507.5808335640477, 3216.277521306818, 0.04328173, 0.09049849076704546]",zero
"[0.40348566, 1984.3983721933546, 1370.462346424316, 3526.3786764705883, 0.02468649, 0.08612419577205882]",zero
"[0.3669863, 1928.1632267714135, 1888.2167349677236, 3868.146306818182, 0.056819834, 0.09656871448863637]",zero
"[0.43140435, 911.130607676463, 1166.2636257854535, 1515.399169921875, 0.032386888, 0.04221413352272727]",zero
"[0.4246706, 1467.4288304333074, 1483.9038455517907, 2676.723965731534, 0.15362084, 0.08986594460227272]",zero
"[0.33846232, 1035.5180191416678, 1010.4363954027663, 1755.6901411576705, 0.053529095, 0.06691672585227272]",zero
"[0.3963369, 1495.9542580738803, 1747.8403435562657, 3307.793634588068, 0.013664885, 0.057539506392045456]",zero
"[0.4925433, 1336.4512117060867, 1590.5636881234034, 2930.9765625, 0.03278185, 0.05258091517857143]",zero
"[0.3240293, 1542.833284981796, 1465.2066627728666, 2842.3828125, 0.11549394, 0.09499289772727272]",zero
"[0.24469061, 1350.9002560278757, 1295.431374144655, 2558.536044034091, 0.10828938, 0.058915571732954544]",zero
"[0.40780506, 1622.8200237679068, 1527.3453370890254, 3289.9308638139205, 0.021081839, 0.08331853693181818]",zero
"[0.34463793, 1353.5927644404371, 1611.042964712812, 2993.4062236064187, 0.031621717, 0.049963048986486486]",zero
"[0.32128432, 1442.1552341156837, 1440.4839215602217, 2454.0510697798295, 0.063583225, 0.083251953125]",zero
"[0.41597867, 1848.1851262842522, 1527.9495917841036, 3446.780672940341, 0.0063246037, 0.1339999112215909]",zero
"[0.26416388, 2135.4331808182883, 1688.9163870241864, 3774.6726296164775, 0.0204767, 0.13599742542613635]",zero
"[0.361378, 1280.0591750253561, 1351.1456794586643, 2655.6801535866475, 0.028071065, 0.07732599431818182]",zero
"[0.41074967, 1763.036444414402, 1528.949072792939, 3511.380282315341, 0.026850354, 0.11330344460227272]",zero
"[0.3382925, 2061.5520939549333, 1913.2370858922814, 4272.138560901989, 0.15306675, 0.08816805752840909]",zero
"[0.45345262, 1753.52005365917, 1683.0421528423374, 3534.381658380682, 0.008162954, 0.09299538352272728]",zero
"[0.3586264, 2128.9851516547915, 1775.661579774074, 4011.2931685014205, 0.023882885, 0.13023792613636365]",zero
"[0.55868274, 1873.4369817930337, 1796.8050883356657, 3717.6585804332385, 0.0040251524, 0.07970081676136363]",zero
"[0.4260334, 1751.1378501876713, 1316.045774562034, 2933.654230291193, 0.0119770765, 0.11190518465909091]",zero
"[0.36344597, 2130.619272407863, 1428.0397902842851, 3485.1978648792615, 0.026714168, 0.14888139204545456]",zero
"[0.3356231, 1709.9544300942005, 1558.3026632439717, 3213.3411754261365, 0.02537968, 0.09164151278409091]",zero
"[0.5272464, 850.900608088907, 1130.0292898890807, 1593.9464222301137, 0.056964472, 0.02777654474431818]",zero
"[0.48769945, 2649.053763396801, 1687.056378309428, 4328.173828125, 0.028214542, 0.30366654829545453]",zero
"[0.31463185, 2094.9470763809045, 1520.7546309488303, 3779.321843927557, 0.027433652, 0.1260098544034091]",zero
"[0.42641708, 2467.1701364365213, 1652.3939687967088, 3835.846502130682, 0.050073944, 0.16733620383522727]",zero
"[0.37415612, 1518.6378308006083, 1465.495878681579, 2867.5864479758525, 0.03628537, 0.08154296875]",zero
"[0.42052805, 2209.035277566512, 1774.4387090643722, 4122.629616477273, 0.016095858, 0.14485307173295456]",zero
"[0.444841, 1152.0432730173861, 1120.0722117090982, 1879.5060591264205, 0.035130814, 0.07798073508522728]",zero
"[0.38022566, 987.1655029532157, 1364.6325040650004, 1867.0265891335227, 0.06743781, 0.036376953125]",zero
"[0.34458455, 1282.043228397806, 1229.3511571899273, 2296.9565651633525, 0.030663608, 0.08039994673295454]",zero
"[0.2930205, 1687.1817828902706, 1682.5569823511398, 3283.3240855823865, 0.05360676, 0.08212002840909091]",zero
"[0.40101218, 2289.2177388682753, 1325.914804419814, 3689.5185990767045, 0.0802409, 0.18468128551136365]",zero
"[0.29476818, 996.1485526970719, 1286.3916490479162, 1978.6077325994318, 0.06775393, 0.050115411931818184]",zero
"[0.4192877, 1845.0310028854162, 1648.5101173188298, 3469.0479625355115, 0.012399198, 0.12154873934659091]",zero
"[0.3467965, 1727.6384193460988, 1644.5401389128604, 3579.650324041193, 0.015609744, 0.09331720525568182]",zero
"[0.38035378, 1671.6573393391307, 1553.668889781751, 3404.693048650568, 0.09337899, 0.10462535511363637]",zero
"[0.46813613, 1471.0274509714875, 1396.9656893556498, 2989.4448020241475, 0.06971688, 0.086669921875]",zero
"[0.3775761, 2011.493368792064, 1547.0571684033807, 3571.820068359375, 0.013744244, 0.14572975852272727]",zero
"[0.4467177, 2287.7502087180487, 1749.1365371792053, 4098.894153941761, 0.0128732985, 0.1491366299715909]",zero
"[0.51418215, 1719.9954327312923, 1649.8554562781571, 3374.106112393466, 0.055010833, 0.08517178622159091]",zero
"[0.30935097, 847.6762881769948, 1091.2318484875498, 1536.4429820667613, 0.080168955, 0.04274680397727273]",zero
"[0.2807008, 1675.155894711581, 1629.5718263123874, 3313.666326349432, 0.0438725, 0.08823464133522728]",zero
"[0.417795, 1609.892251302931, 1859.5721009796382, 3669.2088734019885, 0.012814194, 0.04513272372159091]",zero
"[0.25718093, 1293.9295465544672, 1473.3280373605505, 2548.992919921875, 0.030230276, 0.05994762073863636]",zero
"[0.32482028, 1918.9377426155258, 1491.8372103984134, 3309.261807528409, 0.040120736, 0.10747736150568182]",zero
"[0.3164065, 1340.6396615646133, 1404.1856313022358, 2526.7256303267045, 0.06782687, 0.07656028053977272]",zero
"[0.5897966, 2338.3940220171103, 1797.5351555695177, 4322.301136363636, 0.03775163, 0.0828857421875]",zero
"[0.45734423, 2328.101990044188, 1919.7204762270048, 4443.914794921875, 0.09000234, 0.13330078125]",zero
"[0.22621018, 3154.3694733200723, 1927.5067800706381, 5557.034579190341, 0.0045942254, 0.22008167613636365]",zero
"[0.47576067, 2289.8260090927997, 1879.090286074373, 4443.425403941761, 0.17421824, 0.21034934303977273]",zero
"[0.4404219, 1532.9935723202607, 1392.6275332986816, 3074.5988325639205, 0.08841603, 0.09287331321022728]",zero
"[0.47703737, 1766.0412804681823, 1632.2268280920996, 3666.5172230113635, 0.01808679, 0.11756480823863637]",zero
"[0.4283192, 1265.350670044385, 1563.2138522801908, 2606.741055575284, 0.16096768, 0.05849387428977273]",zero
"[0.39014605, 1343.427004459991, 1421.9308420678462, 2673.053533380682, 0.049754385, 0.06732732599431818]",zero
"[0.37119466, 2208.0670690885217, 1264.4663344805845, 3355.264559659091, 0.031392638, 0.18529163707386365]",zero
"[0.32968464, 1509.1291427260928, 1427.1323661739827, 2810.5723987926135, 0.031328958, 0.08655894886363637]",zero
"[0.51675487, 2631.5168202944737, 1829.0836322184741, 4625.632494549419, 0.033386104, 0.2635923873546512]",zero
"[0.48889506, 1887.8191433814811, 1527.7723417690497, 3389.2772327769885, 0.014767876, 0.11937366832386363]",zero
"[0.3380743, 1276.0228038696807, 1107.464234523201, 2263.433283025568, 0.079116516, 0.07602761008522728]",zero
"[0.37775043, 1697.5929455261971, 1486.0355494919247, 3138.3012251420455, 0.028361985, 0.08578953598484848]",zero
"[0.42327356, 1877.4126526948558, 1458.2501125999904, 3377.5318492542615, 0.08835995, 0.1269198330965909]",zero
"[0.3505866, 2028.81034658263, 1654.0624749215242, 3707.1366743607955, 0.040061507, 0.10652299360795454]",zero
"[0.5234849, 1261.2135903856004, 1718.5049312210724, 2816.689786044034, 0.07794189, 0.04061612215909091]",zero
"[0.39418662, 1813.5459184975566, 1639.5242330816063, 3283.8134765625, 0.10839727, 0.11310369318181818]",zero
"[0.37106687, 2102.6322755905862, 1766.7209444659754, 3908.2763671875, 0.020644391, 0.11789772727272728]",zero
"[0.48831594, 1486.0663457938342, 1656.2473897036791, 3327.6139692826705, 0.054602515, 0.05428799715909091]",zero
"[0.28582332, 853.7221203599544, 1134.1982964642684, 1705.038174715909, 0.052340187, 0.03160511363636364]",zero
"[0.36320654, 2179.066235986021, 1556.6907920988044, 3705.6685014204545, 0.017903263, 0.1526766690340909]",zero
"[0.3596051, 1691.7915609429508, 1491.1307176983485, 3096.866122159091, 0.009638655, 0.08553799715909091]",zero
"[0.42834535, 2593.9921377931796, 1971.2454615817385, 4832.735928622159, 0.018313678, 0.12548828125]",zero
"[0.40703976, 1937.7064672410272, 1527.3982928816965, 3371.414462002841, 0.096368596, 0.11288174715909091]",zero
"[0.44587222, 1741.5964806780573, 1279.519778097156, 3017.8294788707385, 0.056608435, 0.178955078125]",zero
"[0.2646365, 773.9795663830405, 1118.3301554093707, 1514.4203879616477, 0.08332762, 0.027454723011363636]",zero
"[0.57748526, 1193.8490836815693, 1838.1457654641367, 2963.0176890980115, 0.024473296, 0.008611505681818182]",zero
"[0.34869215, 1406.1234574563987, 1639.6628676138773, 3207.223788174716, 0.045760617, 0.053877397017045456]",zero
"[0.3043453, 1559.6143945052836, 1404.7194251298351, 2665.4679731889205, 0.027466409, 0.09608043323863637]",zero
"[0.54117006, 1961.7848785210965, 1957.369689404704, 4173.076567778716, 0.012184083, 0.07778188344594594]",zero
"[0.46084633, 894.4907157707113, 1365.343123351562, 1343.133544921875, 0.0006581119, 0.037653142755681816]",zero
"[0.27139923, 2099.3676754378143, 1944.0166287735062, 4422.136896306818, 0.05802548, 0.08765758167613637]",zero
"[0.3599927, 2845.8050509196146, 2067.492906419285, 5432.729270241477, 0.00025272535, 0.21816184303977273]",zero
"[0.4217588, 1982.551195081094, 1821.0265473291818, 4089.3510298295455, 0.0125194555, 0.10139604048295454]",zero
"[0.45903173, 956.9258463086621, 1199.311980534039, 1945.3291459517045, 0.07115296, 0.047529740767045456]",zero
"[0.40363744, 1401.9534189954886, 1627.2945971994598, 3219.2138671875, 0.015168899, 0.04393421519886364]",zero
"[0.3605722, 2050.3218224598672, 1626.378741706351, 3629.568204012784, 0.05368116, 0.13243519176136365]",zero
"[0.53720266, 1926.3176353488168, 1937.4404336813875, 4227.114590731534, 0.023871439, 0.07784756747159091]",zero
