"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class,duration,sample_duration,total_sample
"[0.2959044, 1357.8241395933464, 1307.7267262229554, 2609.1880104758525, 0.0330008, 0.07270951704545454]",five,1.0,4.5351473922902495e-05,22050
"[0.41353297, 1913.7864688417021, 1436.173933149955, 3310.72998046875, 0.029003056, 0.14021439985795456]",five,1.0,4.5351473922902495e-05,22050
"[0.38318807, 2165.3019921034456, 1687.1305727893423, 3964.801025390625, 0.04597436, 0.11960671164772728]",five,1.0,4.5351473922902495e-05,22050
"[0.4755487, 2008.433457380241, 1837.3528287120876, 4272.627951882102, 0.049043752, 0.13087047230113635]",five,1.0,4.5351473922902495e-05,22050
"[0.37794894, 1563.4548438785853, 1461.8408012168109, 3065.789794921875, 0.024844842, 0.08645907315340909]",five,1.0,4.5351473922902495e-05,22050
"[0.30686527, 1584.2899769423877, 1512.356429857249, 2939.526922052557, 0.111895986, 0.087646484375]",five,1.0,4.5351473922902495e-05,22050
"[0.45453227, 1655.3212126963151, 1522.8282798921953, 3178.594415838068, 0.05318826, 0.09684614701704546]",five,1.0,4.5351473922902495e-05,22050
"[0.44314343, 2085.2301051791264, 1657.4147414327242, 4107.703191583807, 0.041526303, 0.15465198863636365]",five,1.0,4.5351473922902495e-05,22050
"[0.4701552, 2410.0621672694774, 1773.9029319935203, 4422.136896306818, 0.09105721, 0.15367542613636365]",five,1.0,4.5351473922902495e-05,22050
"[0.51796246, 1748.728263762551, 1688.3368693701618, 3500.368985262784, 0.044034377, 0.1060791015625]",five,1.0,4.5351473922902495e-05,22050
"[0.409945, 2973.7727345694493, 1872.145794855617, 5164.298317649148, 0.066773556, 0.24833540482954544]",five,1.0,4.5351473922902495e-05,22050
"[0.42351592, 2106.12757403033, 1716.7396690715743, 4075.403386896307, 0.085526116, 0.15434126420454544]",five,1.0,4.5351473922902495e-05,22050
"[0.42527056, 1637.904132624252, 1580.179801542843, 3201.840487393466, 0.035731584, 0.07974520596590909]",five,1.0,4.5351473922902495e-05,22050
"[0.434626, 2388.6581899016983, 1896.119978593536, 4753.45458984375, 0.057708856, 0.14923650568181818]",five,1.0,4.5351473922902495e-05,22050
"[0.4561602, 2182.041018468934, 1648.8597600541784, 4148.567338423295, 0.010808834, 0.15177778764204544]",five,1.0,4.5351473922902495e-05,22050
"[0.62372804, 2265.6922275128263, 1886.9996196206112, 4546.686900745739, 0.070418, 0.1429776278409091]",five,1.0,4.5351473922902495e-05,22050
"[0.62422395, 2328.2309724656457, 1971.6940828447055, 4720.3472900390625, 0.06843867, 0.1139892578125]",five,0.9174149659863946,4.5351473922902495e-05,20229
"[0.4038257, 1209.3808687442279, 1440.902496610423, 2434.9648215553975, 0.19981374, 0.04953835227272727]",five,1.0,4.5351473922902495e-05,22050
"[0.3366767, 1781.7211062211902, 1475.7579570444314, 3287.973299893466, 0.009335855, 0.13869406960227273]",five,1.0,4.5351473922902495e-05,22050
"[0.3927611, 1243.6462506330324, 1631.6780748896929, 2731.0463645241475, 0.027470857, 0.046075994318181816]",five,1.0,4.5351473922902495e-05,22050
"[0.5311134, 1739.6316159990465, 1621.4865663897037, 3551.510342684659, 0.006425701, 0.11548961292613637]",five,1.0,4.5351473922902495e-05,22050
"[0.3589204, 1433.5876086356725, 1376.3242033170673, 2447.4442915482955, 0.05754045, 0.09215198863636363]",five,1.0,4.5351473922902495e-05,22050
"[0.38342205, 1813.8585055871808, 1671.8318352912347, 3526.306707208807, 0.078173056, 0.12028364701704546]",five,1.0,4.5351473922902495e-05,22050
"[0.45082024, 2261.0705353571357, 1988.8529665525145, 4754.678067294034, 0.051185425, 0.132080078125]",five,1.0,4.5351473922902495e-05,22050
"[0.57267594, 2320.457664858716, 1675.9082972439085, 4237.147105823864, 0.033166107, 0.17479359019886365]",five,1.0,4.5351473922902495e-05,22050
"[0.28363276, 2057.517841414974, 1247.1031386853128, 3272.5574840198865, 0.07141158, 0.19035200639204544]",five,1.0,4.5351473922902495e-05,22050
"[0.36514327, 2138.1354414232524, 1451.4329344832481, 3462.4411843039775, 0.032893535, 0.19121759588068182]",five,1.0,4.5351473922902495e-05,22050
"[0.44492993, 1745.2818722340194, 1483.2792854143283, 3364.4174936655404, 0.0396346, 0.10626055743243243]",five,0.8533786848072562,4.5351473922902495e-05,18817
"[0.39795014, 1703.5180894395003, 1296.8480371331434, 2995.562189275568, 0.14500286, 0.11310369318181818]",five,1.0,4.5351473922902495e-05,22050
"[0.54508036, 1081.2488733795487, 1309.5230665262764, 2202.5041060014205, 0.012800596, 0.04178133877840909]",five,1.0,4.5351473922902495e-05,22050
"[0.53133845, 1496.6811989079245, 1626.1478735112394, 3186.587801846591, 0.011190788, 0.06315104166666667]",five,0.7430839002267574,4.5351473922902495e-05,16385
"[0.43393204, 951.8909533289021, 1146.5941525995815, 1336.0373757102273, 0.037442327, 0.05130282315340909]",five,1.0,4.5351473922902495e-05,22050
"[0.46111298, 2445.866229060223, 1754.1402285128365, 4508.514404296875, 0.06414259, 0.20933948863636365]",five,1.0,4.5351473922902495e-05,22050
"[0.5394153, 1018.9459457003074, 1419.5712566905584, 1914.0081232244318, 0.01179398, 0.04271351207386364]",five,1.0,4.5351473922902495e-05,22050
"[0.47648472, 1233.8144195347004, 1276.5259801233437, 2178.768643465909, 0.080288775, 0.0628662109375]",five,1.0,4.5351473922902495e-05,22050
"[0.51458836, 2014.3768810783322, 1689.712456154386, 3849.5494495738635, 0.021165045, 0.13508744673295456]",five,1.0,4.5351473922902495e-05,22050
"[0.44666156, 2124.107727330141, 1605.6654861167697, 3905.0953258167615, 0.03558529, 0.16533868963068182]",five,1.0,4.5351473922902495e-05,22050
"[0.34740326, 2505.1903165748527, 1871.0428783877653, 4716.994961825284, 0.012674263, 0.17743474786931818]",five,1.0,4.5351473922902495e-05,22050
"[0.3975255, 2807.834268923957, 1712.5086120344633, 4721.399480646307, 0.04376881, 0.2579567649147727]",five,1.0,4.5351473922902495e-05,22050
"[0.4441222, 1574.7657868597717, 1567.1001181618042, 3199.6382279829545, 0.025224907, 0.07762562144886363]",five,1.0,4.5351473922902495e-05,22050
"[0.37822235, 1578.0269603530471, 1463.9551771705576, 3353.0623002485795, 0.093214996, 0.07663796164772728]",five,1.0,4.5351473922902495e-05,22050
"[0.6687517, 1751.008067730682, 1583.200658799564, 3512.359064275568, 0.023617582, 0.08004483309659091]",five,1.0,4.5351473922902495e-05,22050
"[0.50554436, 1867.809291110567, 1727.0935787533956, 3646.0575226814517, 0.11075171, 0.11156439012096774]",five,0.6966439909297052,4.5351473922902495e-05,15361
"[0.5098589, 1307.1917457978006, 1555.0855128108262, 2754.781827059659, 0.019169264, 0.05601917613636364]",five,1.0,4.5351473922902495e-05,22050
"[0.36536664, 1970.028159382339, 1537.4763935053322, 3194.4996226917615, 0.068450816, 0.13670765269886365]",five,1.0,4.5351473922902495e-05,22050
"[0.48585072, 2410.26396380455, 2003.383770188612, 4792.850563742898, 0.01929277, 0.14323286576704544]",five,1.0,4.5351473922902495e-05,22050
"[0.44284922, 751.4776514160319, 1149.4399599916812, 1319.3980823863637, 0.039471343, 0.024125532670454544]",five,1.0,4.5351473922902495e-05,22050
"[0.40430155, 1684.1779497659634, 1608.200076614448, 3316.11328125, 0.020063318, 0.09323952414772728]",five,1.0,4.5351473922902495e-05,22050
"[0.31005386, 2045.6658471247645, 1326.1863649736317, 3376.553067294034, 0.019970804, 0.16313032670454544]",five,1.0,4.5351473922902495e-05,22050
"[0.3267264, 1854.9447784530078, 1575.9388184150355, 3523.615056818182, 0.03665466, 0.11393599076704546]",five,1.0,4.5351473922902495e-05,22050
"[0.35737264, 2033.2018679609491, 1660.284079367454, 3840.0063254616475, 0.066781655, 0.1097412109375]",five,1.0,4.5351473922902495e-05,22050
"[0.5120953, 2207.5707696036116, 1834.7316089414026, 4474.746426669034, 0.02984733, 0.18135209517045456]",five,1.0,4.5351473922902495e-05,22050
"[0.54055727, 2368.465552213485, 1778.6673007145516, 4507.046231356534, 0.01725729, 0.15287642045454544]",five,1.0,4.5351473922902495e-05,22050
"[0.45815808, 1844.9860915400152, 1619.6034779882984, 3647.6756702769885, 0.09067934, 0.12335759943181818]",five,1.0,4.5351473922902495e-05,22050
"[0.4935349, 2565.7249635812773, 1830.9995917733715, 4812.181507457386, 0.01659274, 0.19451349431818182]",five,1.0,4.5351473922902495e-05,22050
"[0.41089535, 1516.0589466212093, 1363.3653313142327, 3119.622802734375, 0.09122679, 0.10100763494318182]",five,1.0,4.5351473922902495e-05,22050
"[0.37556955, 1120.8692588043245, 1069.2614245863676, 2135.4575417258525, 0.07281763, 0.04869495738636364]",five,1.0,4.5351473922902495e-05,22050
"[0.43142307, 1938.8491066696747, 1544.631100238757, 3504.0394176136365, 0.030847466, 0.13617498224431818]",five,1.0,4.5351473922902495e-05,22050
"[0.52433234, 1404.6083156482612, 1639.0651007702836, 3018.3188698508525, 0.0219657, 0.06131258877840909]",five,1.0,4.5351473922902495e-05,22050
"[0.46821225, 2286.982459989397, 1601.7426385326712, 3996.856134588068, 0.016845912, 0.19135076349431818]",five,1.0,4.5351473922902495e-05,22050
"[0.46308413, 2134.17997357758, 1658.4862570348525, 4120.182661576705, 0.030174678, 0.12586558948863635]",five,1.0,4.5351473922902495e-05,22050
"[0.3105972, 2126.9001744264497, 1666.464064938428, 3723.775967684659, 0.12065153, 0.11968439275568182]",five,1.0,4.5351473922902495e-05,22050
"[0.3850913, 1356.2068787964054, 1212.082199551603, 2398.9945845170455, 0.032822605, 0.07323109019886363]",five,1.0,4.5351473922902495e-05,22050
"[0.3906821, 1473.1364387281037, 1650.883282692795, 3266.279296875, 0.030598344, 0.05771484375]",five,0.810702947845805,4.5351473922902495e-05,17876
"[0.32149547, 2058.29143557507, 1745.459788010804, 3972.631281072443, 0.04104479, 0.12190385298295454]",five,1.0,4.5351473922902495e-05,22050
"[0.26359326, 1271.1875688711575, 1359.0437002977833, 2375.9932084517045, 0.040945385, 0.05589710582386364]",five,1.0,4.5351473922902495e-05,22050
"[0.5199325, 1747.9445888483713, 1694.1712391143926, 3743.840997869318, 0.033369824, 0.09792258522727272]",five,1.0,4.5351473922902495e-05,22050
"[0.4240387, 1292.4745237763852, 1412.7105551902948, 2482.4357466264205, 0.027451418, 0.06490811434659091]",five,1.0,4.5351473922902495e-05,22050
"[0.5356022, 2151.4223220111585, 1873.86605096808, 4368.303888494318, 0.15863807, 0.1336669921875]",five,1.0,4.5351473922902495e-05,22050
"[0.39141265, 2250.4476572300064, 1852.850034708478, 4161.046808416193, 0.05528376, 0.16281960227272727]",five,1.0,4.5351473922902495e-05,22050
"[0.5240933, 1440.4922673083659, 1522.8896491489459, 2877.374267578125, 0.021698989, 0.06226695667613636]",five,1.0,4.5351473922902495e-05,22050
"[0.37380275, 2313.656406036831, 1797.599314868859, 4360.4736328125, 0.046202682, 0.17003284801136365]",five,1.0,4.5351473922902495e-05,22050
"[0.63261896, 2424.7129981835933, 2061.580439415812, 4989.58573774858, 0.029871512, 0.1409024325284091]",five,1.0,4.5351473922902495e-05,22050
"[0.43979916, 1350.8739963362725, 1597.106439685588, 3135.0386186079545, 0.06816379, 0.058671431107954544]",five,1.0,4.5351473922902495e-05,22050
"[0.6533247, 1531.0089719397604, 1821.26750432461, 3587.969970703125, 0.030981392, 0.046075994318181816]",five,1.0,4.5351473922902495e-05,22050
"[0.5118148, 1070.4320290142125, 982.9792811247833, 1878.2825816761363, 0.025395803, 0.07027920809659091]",five,1.0,4.5351473922902495e-05,22050
"[0.64698756, 1716.0112262856076, 1764.3594323507998, 3795.9611372514205, 0.016261982, 0.06029163707386364]",five,1.0,4.5351473922902495e-05,22050
"[0.4596488, 1657.589254518088, 1305.8876385460542, 2996.428034855769, 0.049733248, 0.10887419871794872]",five,0.8824036281179138,4.5351473922902495e-05,19457
"[0.3887888, 1105.9560065916683, 1136.1142132044743, 1943.6162775213068, 0.058140002, 0.06336558948863637]",five,1.0,4.5351473922902495e-05,22050
"[0.39728564, 1067.9221354059496, 1393.2867088924675, 2097.040349786932, 0.066061564, 0.045698686079545456]",five,1.0,4.5351473922902495e-05,22050
"[0.3424408, 1911.3530974565242, 1720.1771962201515, 3924.181574041193, 0.05814223, 0.10963023792613637]",five,1.0,4.5351473922902495e-05,22050
"[0.5579527, 1346.430642916998, 1721.6796993796013, 3305.591375177557, 0.010062519, 0.031316583806818184]",five,1.0,4.5351473922902495e-05,22050
"[0.5480659, 1922.2892794592603, 1755.8104028276705, 3933.2353071732955, 0.022973537, 0.12025035511363637]",five,1.0,4.5351473922902495e-05,22050
"[0.61154777, 2033.0000362500527, 1993.9293345925405, 4465.135015443314, 0.013271429, 0.07906749636627906]",five,0.98140589569161,4.5351473922902495e-05,21640
"[0.3197, 2074.0363982517874, 1729.838007753295, 4064.39208984375, 0.014943036, 0.09513716264204546]",five,1.0,4.5351473922902495e-05,22050
"[0.381179, 1795.2801473019188, 1683.4176386856466, 3724.5100541548295, 0.11640472, 0.10027521306818182]",five,1.0,4.5351473922902495e-05,22050
"[0.47881514, 2119.593521673372, 1842.4276795987491, 4203.6304370777025, 0.08152633, 0.08804898648648649]",five,0.8359637188208617,4.5351473922902495e-05,18433
"[0.461945, 2348.388392968886, 1828.0245437654658, 4552.804287997159, 0.02073968, 0.17735706676136365]",five,1.0,4.5351473922902495e-05,22050
