"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class,duration,sample_duration,total_sample
"[0.5982992, 1594.3859200430072, 1655.7611278012964, 3331.7737926136365, 0.020759247, 0.06294389204545454]",four,1.0,4.5351473922902495e-05,22050
"[0.48578736, 1653.6454032549452, 1691.8098800922692, 3460.7283158735795, 0.0363812, 0.08127663352272728]",four,1.0,4.5351473922902495e-05,22050
"[0.38408682, 1916.5482355420077, 1428.5924162150588, 3275.983220880682, 0.035058577, 0.13548694957386365]",four,1.0,4.5351473922902495e-05,22050
"[0.4436647, 1058.9974652617627, 1526.1324971170004, 2231.133478338068, 0.12684673, 0.04177024147727273]",four,1.0,4.5351473922902495e-05,22050
"[0.359099, 1631.076017647597, 1291.2367280609387, 2773.623379794034, 0.0882119, 0.10856489701704546]",four,1.0,4.5351473922902495e-05,22050
"[0.41023377, 1920.4655810512172, 1796.4821064150726, 4024.7514204545455, 0.047036752, 0.12839577414772727]",four,1.0,4.5351473922902495e-05,22050
"[0.57782966, 1156.9374750929983, 1382.3480666932267, 2296.222478693182, 0.02339468, 0.050958806818181816]",four,1.0,4.5351473922902495e-05,22050
"[0.4697283, 2029.1833052449022, 1470.3063023684967, 3491.070556640625, 0.02381868, 0.1748046875]",four,1.0,4.5351473922902495e-05,22050
"[0.28896528, 1598.6764462903463, 1574.8932821942558, 2932.9201438210225, 0.10110922, 0.07929021661931818]",four,1.0,4.5351473922902495e-05,22050
"[0.41244715, 1307.1579931908482, 1381.846543070316, 2574.1965553977275, 0.04772396, 0.07024591619318182]",four,1.0,4.5351473922902495e-05,22050
"[0.40921137, 1951.979241388147, 1571.5730232723938, 3735.5213512073865, 0.03520355, 0.14295543323863635]",four,1.0,4.5351473922902495e-05,22050
"[0.5886779, 1378.3407373217535, 1636.7803184920747, 3303.1444202769885, 0.029047215, 0.065185546875]",four,1.0,4.5351473922902495e-05,22050
"[0.3318314, 2322.2183434880803, 1605.5130076924763, 3577.448064630682, 0.10627609, 0.18736683238636365]",four,1.0,4.5351473922902495e-05,22050
"[0.42624906, 1269.072800817423, 1391.8708874730617, 2399.483975497159, 0.039678775, 0.073974609375]",four,1.0,4.5351473922902495e-05,22050
"[0.43805704, 1643.3821898809572, 1614.1554783525762, 3367.43408203125, 0.010697122, 0.08566080729166667]",four,0.6827210884353742,4.5351473922902495e-05,15054
"[0.5903749, 1430.3198898785395, 1637.1638991219925, 2833.5737748579545, 0.05451819, 0.0775146484375]",four,1.0,4.5351473922902495e-05,22050
