"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class,duration,sample_duration,total_sample
"[0.59679157, 1929.5718397267308, 1881.019650702249, 4183.803488991477, 0.009678402, 0.08012251420454546]",go,1.0,4.5351473922902495e-05,22050
"[0.38037035, 1930.5642233293627, 1466.1636146950789, 3375.32958984375, 0.029498214, 0.13307883522727273]",go,1.0,4.5351473922902495e-05,22050
"[0.2924201, 918.8733061270511, 1252.6872543070585, 1599.3297230113637, 0.11234334, 0.033380681818181816]",go,1.0,4.5351473922902495e-05,22050
"[0.4003875, 1793.993450861911, 1800.6543159514906, 3978.014581853693, 0.06791001, 0.11373623934659091]",go,1.0,4.5351473922902495e-05,22050
"[0.46912298, 1102.5008752909241, 1523.8530538928724, 2362.7796519886365, 0.010427925, 0.028919566761363636]",go,1.0,4.5351473922902495e-05,22050
"[0.3297278, 1685.9991386572374, 1270.8411515834139, 2700.7041237571025, 0.042939987, 0.12559925426136365]",go,1.0,4.5351473922902495e-05,22050
"[0.45130524, 1953.8071070321873, 1690.9586157703948, 3886.987859552557, 0.020546146, 0.13441051136363635]",go,1.0,4.5351473922902495e-05,22050
"[0.42451447, 1306.4995864045204, 1372.3364074184628, 2628.0295632102275, 0.006608111, 0.08723588423295454]",go,1.0,4.5351473922902495e-05,22050
"[0.3439841, 1152.8394857233905, 1282.7678034564854, 2113.190252130682, 0.023572749, 0.056451970880681816]",go,1.0,4.5351473922902495e-05,22050
"[0.5262968, 1726.4744282934907, 1551.7041236876644, 3296.332780704942, 0.005289156, 0.10572992369186046]",go,0.98140589569161,4.5351473922902495e-05,21640
"[0.29657277, 1570.2270237912146, 1618.1642204959937, 2929.739102450284, 0.09754031, 0.06924715909090909]",go,1.0,4.5351473922902495e-05,22050
"[0.41350493, 1226.4655018388091, 1369.1270998742073, 2430.0709117542615, 0.04428029, 0.058516068892045456]",go,1.0,4.5351473922902495e-05,22050
"[0.40852907, 2102.639289293743, 1689.9731996999776, 4006.1545632102275, 0.05002459, 0.12017267400568182]",go,1.0,4.5351473922902495e-05,22050
"[0.5497305, 1327.2904969363647, 1627.900341235107, 3106.409246271307, 0.035679553, 0.07207697088068182]",go,1.0,4.5351473922902495e-05,22050
"[0.45981386, 1546.532089900404, 1911.8153656339273, 3304.8572887073865, 0.0023576124, 0.10026411576704546]",go,1.0,4.5351473922902495e-05,22050
"[0.44086748, 1399.2912966851468, 1460.5959299965527, 2731.780450994318, 0.04926697, 0.08420632102272728]",go,1.0,4.5351473922902495e-05,22050
"[0.2899253, 2228.4923401612396, 1278.0892027420005, 3459.2601429332385, 0.061741315, 0.17650257457386365]",go,1.0,4.5351473922902495e-05,22050
"[0.4908659, 839.2066446113278, 1307.9683626487893, 1330.1646839488637, 0.044385307, 0.029507723721590908]",go,1.0,4.5351473922902495e-05,22050
"[0.40777242, 1437.7079866830125, 1552.2032111041624, 2989.8384425951085, 0.010318136, 0.06326426630434782]",go,0.5120181405895692,4.5351473922902495e-05,11290
"[0.50199866, 2061.6219185751615, 2107.097775304419, 4682.003506747159, 0.028226454, 0.08251953125]",go,1.0,4.5351473922902495e-05,22050
"[0.5379881, 2262.9344475520998, 1925.5756964487641, 4604.5166015625, 0.07433534, 0.12594401041666667]",go,0.6933786848072563,4.5351473922902495e-05,15289
"[0.42993134, 1028.1843559074555, 1346.5978075123162, 2058.1337668678975, 0.18421845, 0.03982821377840909]",go,1.0,4.5351473922902495e-05,22050
"[0.4395349, 1422.4808995325695, 1702.8374874294664, 3116.686456853693, 0.026247485, 0.06622869318181818]",go,1.0,4.5351473922902495e-05,22050
"[0.42664802, 1361.8485103356247, 1496.7810742049885, 2877.8636585582385, 0.007364416, 0.06959117542613637]",go,1.0,4.5351473922902495e-05,22050
"[0.45961577, 936.704548548297, 1176.6560896009503, 1912.295254794034, 0.14930964, 0.04178133877840909]",go,1.0,4.5351473922902495e-05,22050
"[0.2486643, 979.6137723203188, 1239.6704401130428, 1694.271573153409, 0.099309824, 0.04563210227272727]",go,1.0,4.5351473922902495e-05,22050
"[0.4498606, 2016.5132851005817, 2053.433742545188, 4445.138272372159, 0.035839602, 0.09503728693181818]",go,1.0,4.5351473922902495e-05,22050
"[0.45336583, 1854.8562508132554, 1493.7359206469123, 3520.6787109375, 0.028150085, 0.19437166539634146]",go,0.9387301587301587,4.5351473922902495e-05,20699
"[0.45112643, 1811.6281617117631, 1774.6721364581513, 3765.055527797965, 0.09771804, 0.10183502906976744]",go,0.98140589569161,4.5351473922902495e-05,21640
"[0.3756453, 1328.12550389481, 1436.2319203133195, 2689.6928267045455, 0.051536072, 0.07567249644886363]",go,1.0,4.5351473922902495e-05,22050
"[0.48215368, 990.5373125149837, 1376.4301829607753, 1796.0648970170455, 0.027232828, 0.03475674715909091]",go,1.0,4.5351473922902495e-05,22050
"[0.38711628, 1119.2176333505956, 1679.157081357971, 2723.2161088423295, 0.02887369, 0.028287020596590908]",go,1.0,4.5351473922902495e-05,22050
"[0.5213051, 2206.0398030716383, 1765.7253277180455, 4224.912331321023, 0.037811182, 0.2308349609375]",go,1.0,4.5351473922902495e-05,22050
