"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class,duration,sample_duration,total_sample
"[0.53330266, 2289.038895645057, 1694.240945761176, 4161.29150390625, 0.039121, 0.16033380681818182]",left,1.0,4.5351473922902495e-05,22050
"[0.5707639, 1818.904092205751, 1809.4924017944575, 3861.294833096591, 0.023376526, 0.07431862571022728]",left,1.0,4.5351473922902495e-05,22050
"[0.47049695, 2649.096070562997, 1959.0485970868212, 4976.372181285511, 0.010249771, 0.11849698153409091]",left,1.0,4.5351473922902495e-05,22050
"[0.3268692, 2034.8769368590763, 1535.7831963185183, 3639.6007191051135, 0.03514489, 0.13173606178977273]",left,1.0,4.5351473922902495e-05,22050
"[0.3804991, 1523.7214148571036, 1610.9410913991167, 3163.6679909446025, 0.035751436, 0.07996715198863637]",left,1.0,4.5351473922902495e-05,22050
"[0.47450808, 2212.683963284031, 2020.1965198505086, 4817.075417258523, 0.029109204, 0.13988148082386365]",left,1.0,4.5351473922902495e-05,22050
"[0.33231583, 1951.4486949504578, 1346.7714468673691, 3142.379483309659, 0.025011605, 0.14568536931818182]",left,1.0,4.5351473922902495e-05,22050
"[0.43242115, 1337.1112533024946, 1380.0286544249766, 2650.5415482954545, 0.0064486535, 0.08956631747159091]",left,1.0,4.5351473922902495e-05,22050
"[0.40175045, 2022.90291570623, 1398.666087754524, 3457.547274502841, 0.016318895, 0.15142267400568182]",left,1.0,4.5351473922902495e-05,22050
"[0.4042903, 2340.003787207841, 1663.4669728649421, 4151.748379794034, 0.026419515, 0.18170720880681818]",left,1.0,4.5351473922902495e-05,22050
"[0.45650753, 2799.8147478172864, 1860.7114734184388, 5000.107643821023, 0.030689733, 0.21037153764204544]",left,1.0,4.5351473922902495e-05,22050
"[0.563382, 1611.2430033257688, 1779.5175739135725, 3500.613680752841, 0.025397312, 0.08544921875]",left,1.0,4.5351473922902495e-05,22050
"[0.375073, 2283.752328190981, 1751.9341367897277, 3993.185702237216, 0.058280762, 0.14032537286931818]",left,1.0,4.5351473922902495e-05,22050
"[0.29297802, 2986.0042052708973, 1741.5904150347667, 4970.254794034091, 0.02892766, 0.2314786044034091]",left,1.0,4.5351473922902495e-05,22050
"[0.486843, 1253.5671143452448, 1626.1264329136577, 2320.9367231889205, 0.042737123, 0.05457652698863636]",left,1.0,4.5351473922902495e-05,22050
"[0.44797537, 1989.94617476306, 1772.2717859489223, 3932.9498291015625, 0.010483564, 0.10428873697916667]",left,0.5546938775510204,4.5351473922902495e-05,12231
"[0.5620529, 1740.6014848648758, 1852.5382996256494, 3635.196200284091, 0.09354067, 0.07682661576704546]",left,1.0,4.5351473922902495e-05,22050
"[0.3960725, 2115.5953232220004, 1729.6383080495752, 4051.9126198508525, 0.010253317, 0.15128950639204544]",left,1.0,4.5351473922902495e-05,22050
"[0.42230028, 2038.7835372687905, 1877.0539681759653, 4182.09062056108, 0.048362862, 0.12685324928977273]",left,1.0,4.5351473922902495e-05,22050
"[0.4465102, 1423.34224702214, 1749.3555413456552, 3189.850408380682, 0.01401056, 0.06268865411931818]",left,1.0,4.5351473922902495e-05,22050
"[0.4023351, 1609.250124589336, 1478.6992072410242, 3217.2563032670455, 0.014751896, 0.10536517518939394]",left,0.7430839002267574,4.5351473922902495e-05,16385
"[0.4721137, 1911.4638409943648, 1746.8579519827529, 3897.0203746448865, 0.023945874, 0.10537997159090909]",left,1.0,4.5351473922902495e-05,22050
"[0.51618415, 1225.270177881182, 975.5349102189685, 2191.9821999289775, 0.009936585, 0.09818892045454546]",left,1.0,4.5351473922902495e-05,22050
"[0.33153364, 1291.611082220012, 1444.3557206997398, 2398.9945845170455, 0.04238476, 0.05941495028409091]",left,1.0,4.5351473922902495e-05,22050
"[0.315303, 1207.075520024289, 1434.835038282001, 2415.633877840909, 0.07518759, 0.060735529119318184]",left,1.0,4.5351473922902495e-05,22050
"[0.43478382, 2269.3813569027025, 1672.773041078084, 4198.974609375, 0.025990592, 0.13307883522727273]",left,1.0,4.5351473922902495e-05,22050
"[0.48767993, 1670.6620491263327, 1679.8902531934566, 3316.8473677201705, 0.019808738, 0.07843572443181818]",left,1.0,4.5351473922902495e-05,22050
"[0.5722854, 1046.179990168967, 1422.2674794408697, 2154.2990944602275, 0.010196683, 0.03212668678977273]",left,1.0,4.5351473922902495e-05,22050
"[0.60990125, 2437.46369523155, 2016.8020891621707, 4773.519620028409, 0.018408306, 0.16289728338068182]",left,1.0,4.5351473922902495e-05,22050
"[0.53753227, 1768.6250656838477, 1513.4284606447632, 3361.1372514204545, 0.009508288, 0.10488059303977272]",left,1.0,4.5351473922902495e-05,22050
"[0.46870053, 1664.339838460661, 1890.1150469182476, 3705.4238059303975, 0.030942636, 0.05454323508522727]",left,1.0,4.5351473922902495e-05,22050
"[0.5847146, 2517.0143801707236, 1876.0782099354553, 4796.765691583807, 0.017483534, 0.2597878196022727]",left,1.0,4.5351473922902495e-05,22050
"[0.46262157, 1822.2873380154895, 1803.338046660569, 3721.8184037642045, 0.0026322233, 0.08807927911931818]",left,1.0,4.5351473922902495e-05,22050
"[0.41770604, 3273.1241149939465, 1989.9108437298898, 5466.741943359375, 0.008417667, 0.23956853693181818]",left,1.0,4.5351473922902495e-05,22050
"[0.46823162, 1158.2645849726077, 1534.301362496472, 2431.783780184659, 0.01914731, 0.047063654119318184]",left,1.0,4.5351473922902495e-05,22050
"[0.5331025, 2049.6447108136995, 1814.395233282131, 4155.17411665483, 0.015365262, 0.13843883167613635]",left,1.0,4.5351473922902495e-05,22050
"[0.41894415, 2652.0378881093434, 1576.8106133151791, 4337.961647727273, 0.030631721, 0.22373268821022727]",left,1.0,4.5351473922902495e-05,22050
"[0.55109257, 3030.5724346833813, 1861.5389873060058, 5121.231911399148, 0.007662508, 0.2589666193181818]",left,1.0,4.5351473922902495e-05,22050
"[0.41865477, 2689.6120892039594, 1817.9294983023872, 4688.610284978693, 0.013216239, 0.2547940340909091]",left,1.0,4.5351473922902495e-05,22050
"[0.40014187, 3139.6753302294933, 1925.2694140946064, 5333.627596768466, 0.041194562, 0.2539284446022727]",left,1.0,4.5351473922902495e-05,22050
"[0.41588017, 2534.431098368517, 1907.2099589558443, 4836.406360973011, 0.015701078, 0.2335537997159091]",left,1.0,4.5351473922902495e-05,22050
"[0.4384499, 1737.1627923864633, 1568.4739466577419, 3598.0024857954545, 0.039640695, 0.09719016335227272]",left,1.0,4.5351473922902495e-05,22050
"[0.49944836, 1657.5692470703686, 1713.264943073165, 3473.2077858664775, 0.08627613, 0.0728759765625]",left,1.0,4.5351473922902495e-05,22050
