"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class,duration,sample_duration,total_sample
"[0.4156572, 2672.2923414452835, 1943.051759371133, 4885.834849964489, 0.008561437, 0.14585182883522727]",seven,1.0,4.5351473922902495e-05,22050
"[0.4063597, 2131.5249802372573, 1512.0316073275435, 3778.5877574573865, 0.013002465, 0.1541748046875]",seven,1.0,4.5351473922902495e-05,22050
"[0.35273314, 2052.6911164041176, 1564.6145993758512, 3636.664373224432, 0.11204214, 0.13280140269886365]",seven,1.0,4.5351473922902495e-05,22050
"[0.36558583, 2290.7593091602967, 1558.0533586218417, 3817.7390358664775, 0.030219225, 0.16936700994318182]",seven,1.0,4.5351473922902495e-05,22050
"[0.29636595, 1870.3436159071127, 1647.1565262416373, 3434.790593927557, 0.047390465, 0.10887562144886363]",seven,1.0,4.5351473922902495e-05,22050
"[0.4278135, 2028.2294496918541, 1787.1024747390247, 4139.268909801136, 0.05313939, 0.1385165127840909]",seven,1.0,4.5351473922902495e-05,22050
"[0.55790895, 1302.3567667255625, 1650.0287795914744, 2642.7112926136365, 0.01554665, 0.050725763494318184]",seven,1.0,4.5351473922902495e-05,22050
"[0.33960956, 2138.3527105879634, 1383.8477348108165, 3443.844327059659, 0.028281279, 0.17903275923295456]",seven,1.0,4.5351473922902495e-05,22050
"[0.5895321, 2276.0898312677323, 2125.1914359717566, 4951.413241299716, 0.01308437, 0.13144753196022727]",seven,1.0,4.5351473922902495e-05,22050
"[0.42258742, 2653.552643499239, 1665.1590851646863, 4464.958607066761, 0.024242945, 0.21315696022727273]",seven,1.0,4.5351473922902495e-05,22050
"[0.3833526, 1668.692526946599, 1424.9391162731965, 3007.194636418269, 0.00847875, 0.10325270432692307]",seven,0.8960090702947846,4.5351473922902495e-05,19757
"[0.39843762, 1804.6041657632998, 1718.0687819301872, 3615.8652565696025, 0.07551009, 0.09709028764204546]",seven,1.0,4.5351473922902495e-05,22050
"[0.42950875, 1717.5215377879788, 1709.9472948155626, 3441.8867631392045, 0.006760773, 0.09406072443181818]",seven,1.0,4.5351473922902495e-05,22050
"[0.38704035, 2060.330000022847, 1658.168915450566, 3693.4337269176135, 0.030021755, 0.1473721590909091]",seven,1.0,4.5351473922902495e-05,22050
"[0.29888144, 2390.8597438887628, 1608.0473211334902, 4142.694646661932, 0.039914377, 0.14736106178977273]",seven,1.0,4.5351473922902495e-05,22050
"[0.40391016, 2809.9616469178313, 1749.0167230601458, 4670.502818714489, 0.06520897, 0.2066650390625]",seven,1.0,4.5351473922902495e-05,22050
"[0.507396, 1895.9444340181074, 1700.3166392591288, 3712.2752796519885, 0.036182165, 0.10824307528409091]",seven,1.0,4.5351473922902495e-05,22050
"[0.38967288, 2198.7361444826206, 1641.4426332262024, 3757.299249822443, 0.05688119, 0.16258655894886365]",seven,1.0,4.5351473922902495e-05,22050
"[0.3827724, 2826.968490285816, 1771.4773091974255, 4909.080921519886, 0.054856993, 0.216064453125]",seven,1.0,4.5351473922902495e-05,22050
"[0.493856, 2386.5494928003127, 1976.1954419349022, 4690.732876090116, 0.04885144, 0.12272892441860465]",seven,0.9752834467120182,4.5351473922902495e-05,21505
"[0.50862634, 1837.4136148862933, 1621.1778823541833, 3523.8597523082385, 0.028150529, 0.12142666903409091]",seven,1.0,4.5351473922902495e-05,22050
"[0.36980546, 1959.2787590233281, 1571.1902528044147, 3448.4935413707385, 0.02719546, 0.12628728693181818]",seven,1.0,4.5351473922902495e-05,22050
"[0.4188491, 1984.5543007471972, 1586.138805737046, 3673.92333984375, 0.009707102, 0.13238932291666666]",seven,0.6827210884353742,4.5351473922902495e-05,15054
"[0.4116676, 2575.760054924883, 2002.6363462939044, 5046.844482421875, 0.031063091, 0.15818093039772727]",seven,1.0,4.5351473922902495e-05,22050
"[0.5844062, 3227.2580555451186, 1771.2660468052215, 5337.7734375, 0.015542065, 0.27113560267857145]",seven,0.810702947845805,4.5351473922902495e-05,17876
"[0.6132253, 2484.2844705854573, 2133.1858581922907, 5131.509121981534, 0.02427829, 0.15777033025568182]",seven,1.0,4.5351473922902495e-05,22050
"[0.45952773, 1339.186034027798, 1600.8965265473316, 2862.2031471946025, 0.1107094, 0.06223366477272727]",seven,1.0,4.5351473922902495e-05,22050
"[0.33409432, 2162.470751372692, 1694.6853442140118, 4082.988947088068, 0.010444999, 0.15125621448863635]",seven,1.0,4.5351473922902495e-05,22050
"[0.40367073, 1342.70638594494, 1632.461960479831, 2797.1141468394885, 0.031266466, 0.057328657670454544]",seven,1.0,4.5351473922902495e-05,22050
"[0.48013675, 1877.3503326914056, 1948.9966722727027, 4307.619406960227, 0.011988216, 0.07468483664772728]",seven,1.0,4.5351473922902495e-05,22050
"[0.4582907, 1908.6627797206615, 1617.1632929382358, 3521.6574928977275, 0.004248472, 0.13648570667613635]",seven,1.0,4.5351473922902495e-05,22050
"[0.2806086, 1397.6253573515373, 1181.57004909915, 2157.235440340909, 0.059516255, 0.09693492542613637]",seven,1.0,4.5351473922902495e-05,22050
"[0.2776975, 1739.05738521713, 1480.2525303049476, 2992.6258433948865, 0.07600158, 0.10591264204545454]",seven,1.0,4.5351473922902495e-05,22050
"[0.41912305, 2694.614044892247, 1947.2379024203547, 5058.100474964489, 0.032301597, 0.1632967862215909]",seven,1.0,4.5351473922902495e-05,22050
"[0.4325103, 1107.7992361267472, 1331.2369729882594, 1944.839754971591, 0.032404937, 0.06306596235795454]",seven,1.0,4.5351473922902495e-05,22050
"[0.54282963, 2571.1793199058357, 1747.8231477246468, 4588.774525035511, 0.027217505, 0.1892422762784091]",seven,1.0,4.5351473922902495e-05,22050
"[0.3855215, 2171.158334305313, 1329.9326529726388, 3646.6968883167615, 0.030946253, 0.22705078125]",seven,1.0,4.5351473922902495e-05,22050
