"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class,duration,sample_duration,total_sample
"[0.48785278, 2848.501602983665, 1655.3079180950715, 4608.10546875, 0.027064871, 0.18747780539772727]",six,1.0,4.5351473922902495e-05,22050
"[0.41165707, 2835.4629066170546, 1638.292702987339, 4657.044566761364, 0.008717914, 0.24171031605113635]",six,1.0,4.5351473922902495e-05,22050
"[0.5708189, 1412.4992639743982, 1892.9986001461307, 3051.108065518466, 0.02041375, 0.025490500710227272]",six,1.0,4.5351473922902495e-05,22050
"[0.42326567, 3205.821026318792, 1841.8609992617405, 5232.078968394886, 0.033181928, 0.2219571200284091]",six,1.0,4.5351473922902495e-05,22050
"[0.39443925, 2808.9432825130925, 2160.7613584086107, 5671.796764026989, 0.015842767, 0.2017822265625]",six,1.0,4.5351473922902495e-05,22050
"[0.6728354, 1576.7811072669754, 2000.0239868614888, 3559.3405983664775, 0.018497145, 0.05052601207386364]",six,1.0,4.5351473922902495e-05,22050
"[0.40214306, 2900.4467335176732, 1755.9926823700755, 4770.33857865767, 0.018104056, 0.2923029119318182]",six,1.0,4.5351473922902495e-05,22050
"[0.43149042, 3686.1778681526584, 1547.3687918574155, 5380.609130859375, 0.019048113, 0.31465287642045453]",six,1.0,4.5351473922902495e-05,22050
"[0.43910113, 3353.495267307954, 1601.4061878502864, 5076.598131334459, 0.0048358818, 0.33311338682432434]",six,0.8533786848072562,4.5351473922902495e-05,18817
"[0.3297916, 3517.5589915870905, 1962.7936314999824, 5544.06571821733, 0.027554965, 0.3025901100852273]",six,1.0,4.5351473922902495e-05,22050
"[0.38895732, 3338.5717475538772, 1732.8493348474935, 5203.204900568182, 0.022491645, 0.28678755326704547]",six,1.0,4.5351473922902495e-05,22050
"[0.38997316, 3552.631517184395, 1785.62319712143, 5451.815518465909, 0.065117575, 0.2827814275568182]",six,1.0,4.5351473922902495e-05,22050
"[0.478833, 3246.993827998209, 1968.0412788800631, 5557.523970170455, 0.011854162, 0.26659046519886365]",six,1.0,4.5351473922902495e-05,22050
"[0.48972955, 2456.498110058039, 1758.353801476507, 4372.219016335227, 0.027526146, 0.1795987215909091]",six,1.0,4.5351473922902495e-05,22050
"[0.3864556, 3319.834330639722, 1852.6154755478274, 5105.082009055398, 0.04768556, 0.2810613458806818]",six,1.0,4.5351473922902495e-05,22050
"[0.30031297, 4102.4088595275125, 1696.1474503470154, 5729.544899680398, 0.06660494, 0.3456476384943182]",six,1.0,4.5351473922902495e-05,22050
"[0.4025855, 2682.0861773000515, 1820.5039060225367, 4487.715287642045, 0.015587441, 0.2226895419034091]",six,1.0,4.5351473922902495e-05,22050
"[0.4908126, 2961.954801997332, 1876.6459466792764, 5049.852797564338, 0.007738637, 0.22792681525735295]",six,0.7680272108843538,4.5351473922902495e-05,16935
"[0.6285072, 2894.1771839828916, 2025.9900898213361, 5240.888006036932, 0.04753808, 0.20766379616477273]",six,1.0,4.5351473922902495e-05,22050
"[0.49216405, 2388.146356477165, 1850.1248463472155, 4221.731289950284, 0.10171265, 0.2782648259943182]",six,1.0,4.5351473922902495e-05,22050
"[0.38219306, 2100.698621653599, 1811.6745930916252, 3966.5138938210225, 0.021871213, 0.1375399502840909]",six,1.0,4.5351473922902495e-05,22050
"[0.3540267, 2982.783579624051, 1850.1271368157961, 5014.231695130814, 0.0074898913, 0.23546511627906977]",six,0.9752834467120182,4.5351473922902495e-05,21505
"[0.42416844, 2764.59013967143, 1522.4771611942328, 4158.844549005682, 0.033942338, 0.24097789417613635]",six,1.0,4.5351473922902495e-05,22050
"[0.52151126, 1400.7393853880917, 1078.2471221828096, 2518.8953746448865, 0.008737416, 0.11983975497159091]",six,1.0,4.5351473922902495e-05,22050
"[0.49038187, 1713.1222552547079, 1480.5876677512135, 3069.2155317826705, 0.08284008, 0.11371404474431818]",six,1.0,4.5351473922902495e-05,22050
"[0.32248458, 1938.727678746839, 1509.9603677508328, 3353.551691228693, 0.055295166, 0.1262539950284091]",six,1.0,4.5351473922902495e-05,22050
"[0.47123826, 3109.8869764355522, 1650.4252410441397, 4892.196932705966, 0.027541159, 0.25529341264204547]",six,1.0,4.5351473922902495e-05,22050
"[0.4726186, 3453.777101998355, 1863.4844797476462, 5311.605002663352, 0.0003457548, 0.4448020241477273]",six,1.0,4.5351473922902495e-05,22050
"[0.46023417, 2625.1133298335235, 1874.073998001642, 4303.214888139205, 0.022952706, 0.21534312855113635]",six,1.0,4.5351473922902495e-05,22050
"[0.47418827, 2471.846297734226, 1755.333985284034, 4486.247114701705, 0.06952388, 0.17974298650568182]",six,1.0,4.5351473922902495e-05,22050
"[0.48779893, 2793.0723624275497, 1902.095406117554, 4897.802166606105, 0.0061857286, 0.21434411337209303]",six,0.9752834467120182,4.5351473922902495e-05,21505
"[0.38780433, 3510.524202477807, 1990.4998957385449, 5515.191650390625, 0.022174554, 0.3079168146306818]",six,1.0,4.5351473922902495e-05,22050
"[0.5090244, 1407.1645102920825, 1820.313380768817, 3238.5448109019885, 0.014148624, 0.05196866122159091]",six,1.0,4.5351473922902495e-05,22050
"[0.6086739, 2399.8342873482975, 2241.771203375117, 5197.087513316761, 0.01606761, 0.12464488636363637]",six,1.0,4.5351473922902495e-05,22050
"[0.43107608, 3590.1980742094106, 1672.6133355877732, 5550.91719193892, 0.03521407, 0.3168390447443182]",six,1.0,4.5351473922902495e-05,22050
"[0.3693017, 3369.62518971883, 1920.8399645801599, 5550.91719193892, 0.030249005, 0.23073508522727273]",six,1.0,4.5351473922902495e-05,22050
"[0.5096221, 1054.4527830852755, 1721.713002159031, 2377.950772372159, 0.00063806, 0.030894886363636364]",six,1.0,4.5351473922902495e-05,22050
"[0.5274967, 2801.3292637556783, 2042.8256976301514, 5239.664528586648, 0.0133173475, 0.21778453480113635]",six,1.0,4.5351473922902495e-05,22050
"[0.42307568, 3309.2817095918435, 1406.8147294904145, 4858.673650568182, 0.013440603, 0.2785866477272727]",six,1.0,4.5351473922902495e-05,22050
"[0.34748405, 3944.584144082581, 1596.9623534797465, 5625.059925426136, 0.018596463, 0.3797274502840909]",six,1.0,4.5351473922902495e-05,22050
"[0.26545295, 4347.230781669693, 1650.7165638472209, 5921.386163884943, 0.07812388, 0.3623379794034091]",six,1.0,4.5351473922902495e-05,22050
"[0.4455052, 3461.733046110349, 1954.4028963156873, 5448.879172585227, 0.008852654, 0.3719149502840909]",six,1.0,4.5351473922902495e-05,22050
"[0.51132053, 2651.5183195556497, 1670.2229649378023, 4288.533158735795, 0.006243633, 0.17692427201704544]",six,1.0,4.5351473922902495e-05,22050
"[0.41001284, 3341.11114959427, 1907.7244140803211, 5259.921347128378, 0.1394897, 0.24090741131756757]",six,0.8359637188208617,4.5351473922902495e-05,18433
