"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class,duration,sample_duration,total_sample
"[0.4963706, 2476.576116004912, 1554.9113205508716, 4161.780894886364, 0.045353368, 0.17957652698863635]",stop,1.0,4.5351473922902495e-05,22050
"[0.41613868, 2083.281981243727, 1576.8034580529304, 3484.9531693892045, 0.100221656, 0.11586692116477272]",stop,1.0,4.5351473922902495e-05,22050
"[0.47247192, 2316.831726520083, 1815.7269809161496, 4360.4736328125, 0.029168362, 0.163330078125]",stop,1.0,4.5351473922902495e-05,22050
"[0.7265524, 1277.0439986347662, 1764.8727055720453, 3207.223788174716, 0.022324644, 0.030317826704545456]",stop,1.0,4.5351473922902495e-05,22050
"[0.40111476, 2576.1345530578737, 1518.0510793178003, 4186.739834872159, 0.027843965, 0.21747381036931818]",stop,1.0,4.5351473922902495e-05,22050
"[0.41862357, 2393.582710433136, 1666.1267050050685, 4161.780894886364, 0.017213278, 0.15568403764204544]",stop,1.0,4.5351473922902495e-05,22050
"[0.4318204, 1989.6121385161887, 1738.127027313524, 3675.570956143466, 0.080833286, 0.127197265625]",stop,1.0,4.5351473922902495e-05,22050
"[0.42253238, 2632.226965833872, 1586.1359521162594, 4337.961647727273, 0.051387344, 0.20891779119318182]",stop,1.0,4.5351473922902495e-05,22050
"[0.49088916, 2662.831576468133, 1660.6674427750847, 4503.620494495739, 0.06800931, 0.18870960582386365]",stop,1.0,4.5351473922902495e-05,22050
"[0.4479842, 2801.244237374918, 1831.7102699671275, 4673.43916459517, 0.011811679, 0.21013849431818182]",stop,1.0,4.5351473922902495e-05,22050
"[0.3623751, 3337.1964128961813, 1727.043843098812, 5062.504993785511, 0.028737979, 0.2702303799715909]",stop,1.0,4.5351473922902495e-05,22050
"[0.5715563, 2137.088166664124, 1672.2978996717122, 3906.808194247159, 0.028157132, 0.14827104048295456]",stop,1.0,4.5351473922902495e-05,22050
"[0.45208415, 3404.1028128616626, 1882.134976642428, 5623.102361505682, 0.0030724118, 0.2548162286931818]",stop,1.0,4.5351473922902495e-05,22050
"[0.42183524, 3381.836163123093, 1796.9249749486241, 5404.09989790483, 0.052307453, 0.2738037109375]",stop,1.0,4.5351473922902495e-05,22050
"[0.47783396, 2538.2076581930423, 1564.7491117989418, 3989.5152698863635, 0.02047617, 0.1951904296875]",stop,1.0,4.5351473922902495e-05,22050
"[0.4486439, 2625.071058954205, 1573.7924639060902, 4352.153986150568, 0.008758032, 0.21181418678977273]",stop,1.0,4.5351473922902495e-05,22050
"[0.4344184, 1672.5240020010444, 1585.1502525486023, 3120.1121937144885, 0.15905365, 0.09571422230113637]",stop,1.0,4.5351473922902495e-05,22050
"[0.34748757, 2626.1917105955813, 1781.7498158427188, 4685.918634588068, 0.0059012594, 0.20424582741477273]",stop,1.0,4.5351473922902495e-05,22050
"[0.41763783, 1265.859597202428, 1613.294221150072, 2782.4324174360795, 0.021646144, 0.053389115767045456]",stop,1.0,4.5351473922902495e-05,22050
"[0.50960815, 2191.0360671946296, 1864.6525488305283, 4350.685813210227, 0.0010675854, 0.17741255326704544]",stop,1.0,4.5351473922902495e-05,22050
"[0.47645316, 1165.725651957982, 922.6908655709848, 2000.8750221946023, 0.027342303, 0.08939985795454546]",stop,1.0,4.5351473922902495e-05,22050
"[0.4761424, 1353.2563727432773, 1244.8841574057367, 2352.0130504261365, 0.11576491, 0.08730246803977272]",stop,1.0,4.5351473922902495e-05,22050
"[0.3211654, 1535.3691982325843, 1278.016016208176, 2661.5528453480115, 0.050432324, 0.09605823863636363]",stop,1.0,4.5351473922902495e-05,22050
"[0.45120305, 906.1566862907231, 1309.7171020072194, 1785.5429909446023, 0.038765665, 0.02887517755681818]",stop,1.0,4.5351473922902495e-05,22050
"[0.5583326, 2591.689294613544, 1682.9180119592145, 4482.821377840909, 0.037241016, 0.19722123579545456]",stop,1.0,4.5351473922902495e-05,22050
"[0.4554105, 1755.6468295124025, 1275.0331525245804, 2597.687322443182, 0.025359033, 0.13914905894886365]",stop,1.0,4.5351473922902495e-05,22050
"[0.46676415, 2701.702359023633, 1598.481538303761, 4447.34053178267, 0.02062929, 0.23460804332386365]",stop,1.0,4.5351473922902495e-05,22050
"[0.45195004, 2530.426748829384, 1260.338341963862, 3671.166437322443, 0.12110219, 0.18840997869318182]",stop,1.0,4.5351473922902495e-05,22050
"[0.6146336, 1111.5943735611747, 1487.9042110329212, 2435.943603515625, 0.00985395, 0.03566672585227273]",stop,1.0,4.5351473922902495e-05,22050
"[0.54030323, 1931.442943730338, 1684.131371708865, 3531.690007990057, 0.0058082, 0.1187744140625]",stop,1.0,4.5351473922902495e-05,22050
"[0.52593774, 2149.828200021027, 1918.0848893966745, 4407.944557883523, 0.06891143, 0.12567693536931818]",stop,1.0,4.5351473922902495e-05,22050
"[0.45116362, 1979.842210048384, 1807.8947144272818, 3892.6158558238635, 0.036260106, 0.08527166193181818]",stop,1.0,4.5351473922902495e-05,22050
"[0.4686187, 3266.093154619783, 1622.7818638332624, 5003.533380681818, 0.034889665, 0.34373890269886365]",stop,1.0,4.5351473922902495e-05,22050
"[0.40647206, 2531.9802867369, 1749.5824419447913, 4548.399769176136, 0.032174435, 0.21312366832386365]",stop,1.0,4.5351473922902495e-05,22050
"[0.3639434, 1533.1788167325014, 1757.6368540644514, 3297.027033025568, 0.062227488, 0.043268377130681816]",stop,1.0,4.5351473922902495e-05,22050
"[0.5014565, 1726.6897100191507, 1796.2756626085697, 3264.4825328480115, 0.0017901402, 0.09357244318181818]",stop,1.0,4.5351473922902495e-05,22050
"[0.4768183, 2301.7125599354217, 1889.643634227074, 4453.702614524148, 0.013713694, 0.1592684659090909]",stop,1.0,4.5351473922902495e-05,22050
"[0.6049207, 3008.7257864752523, 1889.8654961377133, 5263.399991122159, 0.00010722065, 0.25340687144886365]",stop,1.0,4.5351473922902495e-05,22050
"[0.433602, 3691.681445193059, 1744.0659764777347, 5599.856289950284, 0.051522043, 0.33952192826704547]",stop,1.0,4.5351473922902495e-05,22050
"[0.3527837, 2385.1920644087827, 1530.1467894791529, 3884.296209161932, 0.01323424, 0.19682173295454544]",stop,1.0,4.5351473922902495e-05,22050
"[0.37821463, 3361.5364670320882, 1633.8262885674967, 5097.496448863636, 0.05487804, 0.27149547230113635]",stop,1.0,4.5351473922902495e-05,22050
"[0.73515344, 880.9364899701261, 1497.5462398115808, 1682.7708851207387, 0.006018304, 0.020862926136363636]",stop,1.0,4.5351473922902495e-05,22050
"[0.5089979, 1886.9291182405198, 1751.6169985482481, 3809.6640846946025, 0.109888434, 0.09950949928977272]",stop,1.0,4.5351473922902495e-05,22050
"[0.55873734, 2154.1040249755565, 1655.6210831472117, 3973.4281099759614, 0.017476536, 0.12543820112179488]",stop,0.8960090702947846,4.5351473922902495e-05,19757
"[0.41129658, 2086.7710548838295, 1624.5174659824784, 3480.4209833559785, 0.07897757, 0.13145380434782608]",stop,0.5108843537414967,4.5351473922902495e-05,11265
"[0.6196123, 2708.5016893769093, 1940.1797942801356, 4899.293101917614, 0.0051989886, 0.19240500710227273]",stop,1.0,4.5351473922902495e-05,22050
"[0.40931433, 1294.3107717984428, 1139.9829332367217, 1929.4239390980113, 0.077569544, 0.09190784801136363]",stop,1.0,4.5351473922902495e-05,22050
"[0.49633396, 1948.9731591005077, 1481.519520118912, 3467.3350941051135, 0.04012134, 0.13291237571022727]",stop,1.0,4.5351473922902495e-05,22050
"[0.4880112, 2914.7975229863573, 1907.4227124970457, 5055.898215553977, 0.028171541, 0.21555397727272727]",stop,1.0,4.5351473922902495e-05,22050
"[0.48628235, 3444.295215664065, 1875.0104187603374, 5458.340731534091, 0.020122724, 0.24631569602272727]",stop,0.7430839002267574,4.5351473922902495e-05,16385
"[0.55243003, 1218.8695617706896, 1421.5865177789256, 2289.371004971591, 0.023963356, 0.06461958451704546]",stop,1.0,4.5351473922902495e-05,22050
"[0.33655462, 2466.0335360431814, 1418.4447595128086, 3766.5976784446025, 0.044007454, 0.20611017400568182]",stop,1.0,4.5351473922902495e-05,22050
"[0.47140786, 1857.028622441423, 1412.0498208282863, 3073.3753551136365, 0.0729552, 0.12359064275568182]",stop,1.0,4.5351473922902495e-05,22050
"[0.3804138, 1413.7641812084455, 1679.452707716745, 3187.6481489701705, 0.03936327, 0.04088245738636364]",stop,1.0,4.5351473922902495e-05,22050
"[0.5145762, 2408.233024283647, 1792.4808182100517, 4492.609197443182, 0.0121646635, 0.18975275213068182]",stop,1.0,4.5351473922902495e-05,22050
"[0.40057248, 2030.5619716604836, 1816.5883558970668, 4121.280484586148, 0.071795076, 0.12020956503378379]",stop,0.8533786848072562,4.5351473922902495e-05,18817
"[0.37545156, 2536.8723476577397, 1924.7121375584968, 4734.123646129261, 0.19078726, 0.17729048295454544]",stop,1.0,4.5351473922902495e-05,22050
"[0.40414262, 2914.5421640327154, 1531.6190353184227, 4485.02363725142, 0.04227953, 0.23548473011363635]",stop,1.0,4.5351473922902495e-05,22050
"[0.7725912, 508.7379263365545, 1099.232063743425, 718.1812633167614, 0.009346657, 0.007412997159090909]",stop,1.0,4.5351473922902495e-05,22050
"[0.6040454, 1712.9531337874744, 1758.0672320618264, 3632.9939408735795, 0.02765147, 0.0748291015625]",stop,1.0,4.5351473922902495e-05,22050
"[0.49979222, 2258.1145723724044, 1628.9987228863267, 3849.5494495738635, 0.030934887, 0.16633744673295456]",stop,1.0,4.5351473922902495e-05,22050
"[0.44689542, 2169.034828137063, 1669.9707620962463, 3512.1143687855115, 0.037534207, 0.14968039772727273]",stop,1.0,4.5351473922902495e-05,22050
"[0.47309592, 2739.596070033718, 1682.859579331054, 4539.590731534091, 0.016962988, 0.2403564453125]",stop,1.0,4.5351473922902495e-05,22050
"[0.5386291, 2647.5613067075287, 2210.2747149904903, 5496.594793146307, 5.40833e-05, 0.12178178267045454]",stop,1.0,4.5351473922902495e-05,22050
"[0.50150645, 2281.710671615198, 1709.021108376728, 4006.8886496803975, 0.086988695, 0.14821555397727273]",stop,1.0,4.5351473922902495e-05,22050
"[0.4831902, 2574.4962248479105, 1784.6646711766907, 4616.425115411932, 0.01576195, 0.174072265625]",stop,1.0,4.5351473922902495e-05,22050
"[0.5129382, 1618.8354817268703, 1459.6458859115858, 2897.439297762784, 0.060538493, 0.10398171164772728]",stop,1.0,4.5351473922902495e-05,22050
"[0.33165613, 1718.1825051749765, 1270.0391958810644, 2725.9077592329545, 0.03345032, 0.09942072088068182]",stop,1.0,4.5351473922902495e-05,22050
"[0.43977988, 1603.9468516258896, 1692.770739956705, 3286.749822443182, 0.030349918, 0.06394264914772728]",stop,1.0,4.5351473922902495e-05,22050
"[0.44143015, 2139.9631319741898, 1604.9812523406142, 3588.9487526633525, 0.019796446, 0.16554953835227273]",stop,1.0,4.5351473922902495e-05,22050
"[0.39927334, 2761.362247594873, 1742.5451307440255, 4567.975408380682, 0.046027552, 0.20253684303977273]",stop,1.0,4.5351473922902495e-05,22050
"[0.5313971, 808.8095872372744, 1413.6384082904265, 1950.4371643066406, 0.072794676, 0.0110015869140625]",stop,0.7253968253968254,4.5351473922902495e-05,15995
"[0.31135264, 2389.797830661038, 1442.6814997277777, 3584.50927734375, 0.1144058, 0.21766880580357142]",stop,0.64,4.5351473922902495e-05,14112
"[0.4077944, 2284.680240022671, 1466.8883801065342, 3597.7577903053975, 0.037379768, 0.16804643110795456]",stop,1.0,4.5351473922902495e-05,22050
"[0.6413513, 2578.663421893502, 2063.7449394482537, 5068.867076526989, 0.02618457, 0.15834738991477273]",stop,1.0,4.5351473922902495e-05,22050
"[0.4001618, 1600.3491391623522, 1600.5038319602793, 3277.6960893110795, 0.048607316, 0.09483753551136363]",stop,1.0,4.5351473922902495e-05,22050
"[0.6218046, 2654.930557220757, 1905.023433549126, 4889.260586825284, 0.016701268, 0.19580078125]",stop,1.0,4.5351473922902495e-05,22050
"[0.37745142, 1383.3080032430028, 1456.7347435215845, 2463.8388893821025, 0.05195603, 0.08528275923295454]",stop,1.0,4.5351473922902495e-05,22050
"[0.3893812, 1995.1042453161424, 1531.0832738984673, 3318.3155406605115, 0.015126682, 0.13459916548295456]",stop,1.0,4.5351473922902495e-05,22050
"[0.4909492, 2868.969862050277, 1816.3289971808422, 4953.860196200284, 0.021610485, 0.20709783380681818]",stop,1.0,4.5351473922902495e-05,22050
"[0.60419035, 1275.8812101124338, 1667.844052965613, 2454.540460759943, 0.040658947, 0.02215021306818182]",stop,1.0,4.5351473922902495e-05,22050
"[0.44855142, 3560.474035599773, 1643.897944022026, 5308.66865678267, 0.048265472, 0.3218439275568182]",stop,1.0,4.5351473922902495e-05,22050
"[0.3635316, 2212.4003293213304, 1113.0160438946896, 3234.3849875710225, 0.02384272, 0.17863325639204544]",stop,1.0,4.5351473922902495e-05,22050
"[0.45870128, 1984.2772632053247, 1749.022117807164, 3999.547784978693, 0.013175223, 0.13390003551136365]",stop,1.0,4.5351473922902495e-05,22050
"[0.385151, 1810.1597713444319, 1519.704011482564, 2839.935857599432, 0.03384092, 0.1322354403409091]",stop,1.0,4.5351473922902495e-05,22050
"[0.30695233, 2361.927101043837, 1527.168368493046, 3875.731867009943, 0.03982517, 0.15674937855113635]",stop,1.0,4.5351473922902495e-05,22050
"[0.654927, 1604.7175554454464, 1934.688347520843, 3781.768798828125, 0.010001707, 0.01175204190340909]",stop,1.0,4.5351473922902495e-05,22050
"[0.46801788, 1346.7264042454153, 1452.6300871187243, 2703.729992378049, 0.015012173, 0.07093178353658537]",stop,0.9387301587301587,4.5351473922902495e-05,20699
"[0.4421318, 2231.73740111919, 1485.2500123541809, 3695.1465953480115, 0.038763538, 0.18639026988636365]",stop,1.0,4.5351473922902495e-05,22050
"[0.5530711, 2261.743660732724, 1870.395230738766, 4384.943181818182, 0.015158326, 0.16583806818181818]",stop,1.0,4.5351473922902495e-05,22050
"[0.40889847, 2484.736601827489, 1691.4149878831538, 4244.977361505682, 0.010013676, 0.1652499112215909]",stop,1.0,4.5351473922902495e-05,22050
"[0.39983264, 2640.989616000926, 1619.7493650528102, 4366.101629083807, 0.011100624, 0.21702991832386365]",stop,1.0,4.5351473922902495e-05,22050
"[0.35658163, 2975.8459399953117, 1772.251682262512, 4824.17158647017, 0.0329168, 0.23524058948863635]",stop,1.0,4.5351473922902495e-05,22050
"[0.38380468, 2449.7173810348027, 1689.574543518084, 4195.793568004261, 0.013923917, 0.16096635298295456]",stop,1.0,4.5351473922902495e-05,22050
"[0.46058154, 1744.0119957922414, 1700.9346576285652, 3460.238924893466, 0.027532423, 0.08137650923295454]",stop,1.0,4.5351473922902495e-05,22050
"[0.38176367, 2004.1774290681371, 1625.7666764266962, 3649.8779296875, 0.02855943, 0.10663396661931818]",stop,1.0,4.5351473922902495e-05,22050
"[0.3513501, 2331.7695165928926, 1281.3041519547303, 3720.3502308238635, 0.017210474, 0.22147993607954544]",stop,1.0,4.5351473922902495e-05,22050
"[0.5398909, 1120.5393992870331, 1356.7230565920493, 2096.795654296875, 0.051846266, 0.05295632102272727]",stop,1.0,4.5351473922902495e-05,22050
"[0.48588032, 2177.4436550305973, 1660.639462705906, 3935.19287109375, 0.013656714, 0.13714044744318182]",stop,1.0,4.5351473922902495e-05,22050
"[0.5376084, 2671.5667228196435, 1932.2509790788754, 4942.60420365767, 0.014538016, 0.15406383167613635]",stop,1.0,4.5351473922902495e-05,22050
"[0.4574418, 2595.1860842385345, 1578.4102325052745, 4270.425692471591, 0.063134134, 0.21924937855113635]",stop,1.0,4.5351473922902495e-05,22050
"[0.44630665, 1631.503319383834, 1670.839995759265, 3225.5759499289775, 0.005023828, 0.08267489346590909]",stop,1.0,4.5351473922902495e-05,22050
"[0.46004486, 1394.2010568480355, 1317.6093403782354, 2786.3475452769885, 0.01203391, 0.11189408735795454]",stop,1.0,4.5351473922902495e-05,22050
"[0.48863423, 2307.030690276681, 1773.0469708243318, 4180.133056640625, 0.021195626, 0.12291370738636363]",stop,1.0,4.5351473922902495e-05,22050
"[0.5041404, 1873.9688102809182, 1770.748831087454, 3857.379705255682, 0.029819308, 0.12181507457386363]",stop,1.0,4.5351473922902495e-05,22050
"[0.5237474, 2102.9682854022412, 1576.2587818790053, 3797.918701171875, 0.033869546, 0.15399724786931818]",stop,1.0,4.5351473922902495e-05,22050
"[0.43677136, 2148.417911748264, 1837.7850855946156, 4017.165860262784, 0.0027813215, 0.13214666193181818]",stop,1.0,4.5351473922902495e-05,22050
"[0.46657705, 2486.1099067694117, 1733.2262181339358, 4400.114302201705, 0.019341229, 0.18864302201704544]",stop,1.0,4.5351473922902495e-05,22050
"[0.40271616, 2684.5775668854876, 1289.4178391736139, 3929.564874822443, 0.078283586, 0.23186700994318182]",stop,1.0,4.5351473922902495e-05,22050
"[0.49179164, 2573.8200146274007, 1496.8985507904183, 3992.2069202769885, 0.031947803, 0.21256880326704544]",stop,1.0,4.5351473922902495e-05,22050
"[0.41661313, 3256.2619518892093, 1618.5388514749595, 4980.532004616477, 0.0070932168, 0.275146484375]",stop,1.0,4.5351473922902495e-05,22050
"[0.59549177, 2292.835784277439, 2063.248519922254, 4803.406613372093, 0.014139488, 0.1217750726744186]",stop,0.9752834467120182,4.5351473922902495e-05,21505
"[0.32930142, 3106.7905812716203, 1382.2388317345792, 4403.295343572443, 0.05239632, 0.2653586647727273]",stop,1.0,4.5351473922902495e-05,22050
"[0.5321944, 2140.584629525716, 1541.7313622877193, 3814.5579944957385, 0.015300461, 0.18009810014204544]",stop,1.0,4.5351473922902495e-05,22050
"[0.40659642, 2993.4640143825295, 1495.633100762492, 4580.45487837358, 0.009661321, 0.24788041548295456]",stop,1.0,4.5351473922902495e-05,22050
"[0.4262218, 1355.1765473851353, 1685.0844086892305, 3022.968084161932, 0.017257426, 0.055908203125]",stop,1.0,4.5351473922902495e-05,22050
"[0.39102188, 2407.0443919524578, 1677.8671415482015, 4192.85722212358, 0.100094005, 0.1827392578125]",stop,1.0,4.5351473922902495e-05,22050
"[0.5077991, 2823.5883743477416, 1671.9361856457692, 4720.910089666193, 0.032904003, 0.22978071732954544]",stop,1.0,4.5351473922902495e-05,22050
"[0.46563587, 1225.9442397011749, 1366.507434938222, 2218.6540083451705, 0.061082248, 0.05991432883522727]",stop,1.0,4.5351473922902495e-05,22050
