"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class,duration,sample_duration,total_sample
"[0.3869643, 2030.1955307531775, 1508.613088756044, 3482.750909978693, 0.019434871, 0.13953746448863635]",three,1.0,4.5351473922902495e-05,22050
"[0.38042685, 1460.1327457503728, 1429.338701688941, 2775.336248224432, 0.113054395, 0.08149857954545454]",three,1.0,4.5351473922902495e-05,22050
"[0.41618827, 2091.4990184899953, 1856.4366842565944, 4297.097500887784, 0.05430096, 0.14594060724431818]",three,1.0,4.5351473922902495e-05,22050
"[0.5923621, 999.7629397214246, 1482.427402899572, 2326.5647194602275, 0.034078903, 0.0218505859375]",three,1.0,4.5351473922902495e-05,22050
"[0.39455056, 1589.382931216882, 1421.6432225606172, 2944.910222833807, 0.03022149, 0.10359330610795454]",three,1.0,4.5351473922902495e-05,22050
"[0.41267335, 2086.9390930842283, 1452.455026717712, 3649.8779296875, 0.0042129746, 0.14865944602272727]",three,1.0,4.5351473922902495e-05,22050
"[0.5441292, 1715.4831452002995, 1619.8031236319873, 3357.711514559659, 0.0037549043, 0.10115189985795454]",three,1.0,4.5351473922902495e-05,22050
"[0.342436, 1624.5824760524563, 1642.2913630227856, 3184.467107599432, 0.11320567, 0.07472922585227272]",three,1.0,4.5351473922902495e-05,22050
"[0.48157582, 1389.693659204013, 1681.4890970983774, 3249.3114124644885, 0.0064860205, 0.04796253551136364]",three,1.0,4.5351473922902495e-05,22050
"[0.39906806, 2176.634624199249, 1724.3301831412502, 4209.00712446733, 0.038988445, 0.16228693181818182]",three,1.0,4.5351473922902495e-05,22050
"[0.5067513, 2424.5476531344716, 1894.3861737349578, 4573.114013671875, 0.03140039, 0.1252774325284091]",three,1.0,4.5351473922902495e-05,22050
"[0.463394, 1724.2061894819815, 1772.440100727472, 3732.8297008167615, 0.036418375, 0.09650213068181818]",three,1.0,4.5351473922902495e-05,22050
"[0.40029046, 1926.037510431035, 2077.9629647273778, 4310.800448330966, 0.003348454, 0.14243386008522727]",three,1.0,4.5351473922902495e-05,22050
"[0.37102157, 1975.3264946309753, 1654.5599976497854, 3599.4706587357955, 0.05218239, 0.13569779829545456]",three,1.0,4.5351473922902495e-05,22050
"[0.3925226, 2820.893261445296, 2043.1310704013115, 5172.128573330966, 0.04665482, 0.19052956321022727]",three,1.0,4.5351473922902495e-05,22050
"[0.38054165, 1842.5708965163612, 1549.1532034666322, 3435.2970566860463, 0.043696918, 0.1353561046511628]",three,0.9752834467120182,4.5351473922902495e-05,21505
"[0.3904683, 1365.2100624182542, 1540.3469652205363, 2925.0898881392045, 0.022193464, 0.053644353693181816]",three,1.0,4.5351473922902495e-05,22050
"[0.44294322, 1680.8399156418461, 1608.035270548235, 3463.1007982336955, 0.011263771, 0.08328379755434782]",three,0.5120181405895692,4.5351473922902495e-05,11290
"[0.47568688, 2080.6948425001774, 1724.3744089931272, 4090.5745072798295, 0.007787273, 0.14824884588068182]",three,1.0,4.5351473922902495e-05,22050
"[0.641921, 2305.353066761943, 1919.2077491608268, 4546.442205255682, 0.044594236, 0.1410245028409091]",three,1.0,4.5351473922902495e-05,22050
"[0.5170962, 1252.3425673810668, 1546.4775631733398, 2671.0959694602275, 0.06383189, 0.054365678267045456]",three,1.0,4.5351473922902495e-05,22050
"[0.43467164, 1248.6019926761746, 1570.339496838215, 2642.2219016335225, 0.023020767, 0.052545720880681816]",three,1.0,4.5351473922902495e-05,22050
"[0.4406881, 1739.0131052877243, 1629.1892177122986, 3523.8597523082385, 0.017043231, 0.11186079545454546]",three,1.0,4.5351473922902495e-05,22050
"[0.44741422, 1731.3619999259447, 1820.2509242341782, 3983.397882634943, 0.00097229186, 0.11343661221590909]",three,1.0,4.5351473922902495e-05,22050
"[0.3858657, 1472.99636798532, 1512.0162970826125, 3051.5974564985795, 0.016709479, 0.06942471590909091]",three,1.0,4.5351473922902495e-05,22050
"[0.38246438, 1296.7203507137021, 1381.7831314662255, 2242.389470880682, 0.031904854, 0.0777587890625]",three,1.0,4.5351473922902495e-05,22050
"[0.32993585, 1874.2678277086534, 1727.873377152431, 3693.6784224076705, 0.06466789, 0.103759765625]",three,1.0,4.5351473922902495e-05,22050
"[0.587696, 2377.2242390385236, 1872.2670453109074, 4594.157825816761, 0.00041988402, 0.3896706321022727]",three,1.0,4.5351473922902495e-05,22050
"[0.37249923, 2064.4828968653746, 1667.0806752469048, 3880.3810813210225, 0.035683397, 0.11968439275568182]",three,1.0,4.5351473922902495e-05,22050
"[0.5370761, 1411.4305834157622, 1660.5114278922385, 3230.2880859375, 0.0089569045, 0.04780970982142857]",three,0.7895238095238095,4.5351473922902495e-05,17409
"[0.45043656, 1758.6660232383829, 1675.8509283145431, 3811.8663441051135, 0.03676268, 0.09421608664772728]",three,1.0,4.5351473922902495e-05,22050
"[0.51144123, 981.5931933936407, 1439.140872537584, 1919.146728515625, 0.016651409, 0.029996004971590908]",three,1.0,4.5351473922902495e-05,22050
"[0.457285, 2349.119895777964, 1758.6631469801519, 4402.316561612216, 0.02979411, 0.18275035511363635]",three,1.0,4.5351473922902495e-05,22050
"[0.4068913, 2326.2980701624588, 1874.913257073373, 4374.665971235795, 0.021156602, 0.13294566761363635]",three,1.0,4.5351473922902495e-05,22050
"[0.32879823, 1971.7115579992503, 1802.08465839579, 4096.202503551136, 0.044231202, 0.11748712713068182]",three,1.0,4.5351473922902495e-05,22050
"[0.21505873, 1135.5273283492236, 1129.9247699909108, 2662.042236328125, 4.3439188e-05, 0.07400790127840909]",three,1.0,4.5351473922902495e-05,22050
"[0.48411793, 767.0484300933708, 1225.2845565319985, 1456.9169477982955, 0.044550564, 0.03395774147727273]",three,1.0,4.5351473922902495e-05,22050
"[0.49671757, 2342.5105469872624, 1815.8958879059405, 4454.192005504261, 0.019668836, 0.1753262606534091]",three,1.0,4.5351473922902495e-05,22050
"[0.39282516, 1786.0617024819949, 1497.2607219065585, 3522.6362748579545, 0.05681963, 0.11243785511363637]",three,1.0,4.5351473922902495e-05,22050
"[0.30751213, 2716.857899888588, 1956.5715601078703, 5030.205189098011, 0.014342398, 0.3509521484375]",three,1.0,4.5351473922902495e-05,22050
"[0.36863402, 2793.8282310183904, 1792.9694623143134, 4724.091131036932, 0.05429406, 0.2095947265625]",three,1.0,4.5351473922902495e-05,22050
"[0.5144349, 1579.0065988111264, 1540.9529689138828, 3120.6015846946025, 0.015283695, 0.068115234375]",three,1.0,4.5351473922902495e-05,22050
"[0.59555125, 1249.1034710243005, 1694.4629024596795, 2858.0433238636365, 0.0031540173, 0.03174937855113636]",three,1.0,4.5351473922902495e-05,22050
"[0.5134297, 1639.1544881992645, 1685.2669637313002, 3474.920654296875, 0.11162214, 0.06681685014204546]",three,1.0,4.5351473922902495e-05,22050
"[0.5932185, 2627.0205693821026, 2014.480109819801, 5041.705877130682, 0.0031700311, 0.16814630681818182]",three,1.0,4.5351473922902495e-05,22050
"[0.32029712, 1098.1611338839732, 1286.546399634821, 1959.2767888849432, 0.07271861, 0.06764914772727272]",three,1.0,4.5351473922902495e-05,22050
"[0.52396864, 2047.8999121403895, 1596.550915672081, 3799.8762650923295, 0.044130657, 0.23155628551136365]",three,1.0,4.5351473922902495e-05,22050
"[0.42740488, 2400.609194582195, 1980.123914306648, 4724.699885670731, 0.024283413, 0.14213748094512196]",three,0.9387301587301587,4.5351473922902495e-05,20699
"[0.41134048, 1744.4767700032396, 1663.757113589286, 3412.767999822443, 0.022553843, 0.09877707741477272]",three,1.0,4.5351473922902495e-05,22050
"[0.23985474, 2365.223107185139, 1433.0444612460765, 3960.5337747713415, 0.012954769, 0.18800019054878048]",three,0.9387301587301587,4.5351473922902495e-05,20699
"[0.3273584, 2045.692280679448, 1543.9891853461902, 3699.795809659091, 0.027943693, 0.12935014204545456]",three,1.0,4.5351473922902495e-05,22050
"[0.45985234, 1847.0245410746238, 1585.8825902889337, 3632.259854403409, 0.064862415, 0.09693492542613637]",three,1.0,4.5351473922902495e-05,22050
"[0.33590472, 1415.0299645333628, 1732.563862372903, 3407.874090021307, 0.04173565, 0.03513405539772727]",three,1.0,4.5351473922902495e-05,22050
"[0.5783087, 1825.7169490640024, 1752.469028618324, 3875.4871715198865, 0.019421022, 0.07512872869318182]",three,1.0,4.5351473922902495e-05,22050
"[0.4057897, 2376.692907596603, 1962.6735134737864, 4643.586314808239, 0.19785112, 0.15269886363636365]",three,1.0,4.5351473922902495e-05,22050
"[0.3336922, 1222.9813127290906, 1220.1536592212724, 2441.8162952769885, 0.05283185, 0.05677379261363636]",three,1.0,4.5351473922902495e-05,22050
"[0.6076621, 1791.1628902319621, 1839.9332218342379, 3892.371160333807, 0.026728313, 0.08035555752840909]",three,1.0,4.5351473922902495e-05,22050
"[0.46728066, 1356.518309949947, 1486.5178732837137, 2647.115811434659, 0.016593553, 0.05408824573863636]",three,1.0,4.5351473922902495e-05,22050
"[0.6302602, 1500.3698522899895, 1818.7036006258843, 3369.2122025923295, 0.03514967, 0.039606267755681816]",three,1.0,4.5351473922902495e-05,22050
"[0.3968526, 1256.578938295601, 1590.3915534410114, 2929.2497114701705, 0.02059673, 0.04811789772727273]",three,1.0,4.5351473922902495e-05,22050
"[0.45828107, 2409.579803175716, 1761.8895351109038, 4397.177956321023, 0.012048054, 0.20412375710227273]",three,1.0,4.5351473922902495e-05,22050
"[0.4096882, 2613.426246108134, 2025.0110724153622, 4918.868741122159, 0.04176079, 0.19057395241477273]",three,1.0,4.5351473922902495e-05,22050
"[0.4329025, 2060.8673408336194, 1851.9861965706996, 4314.960271661932, 0.006371289, 0.08428400213068182]",three,1.0,4.5351473922902495e-05,22050
"[0.5788153, 2046.9629429111626, 1872.2487163548665, 4317.4072265625, 0.006415595, 0.117919921875]",three,1.0,4.5351473922902495e-05,22050
"[0.25010556, 1696.1318177388018, 1541.9230993976757, 3391.724187677557, 0.15064545, 0.08701393821022728]",three,1.0,4.5351473922902495e-05,22050
"[0.35573846, 1420.6083172066417, 1734.4654001060605, 3348.168390447443, 0.026762152, 0.04373446377840909]",three,1.0,4.5351473922902495e-05,22050
"[0.3142418, 1729.1770851186668, 1833.1803454219537, 3696.1253773082385, 0.026791513, 0.07753684303977272]",three,1.0,4.5351473922902495e-05,22050
"[0.39333558, 1940.7379162902691, 1494.8843564524404, 3338.869961825284, 0.040656906, 0.10665616122159091]",three,1.0,4.5351473922902495e-05,22050
"[0.48545757, 1629.8163149559232, 1679.2757840717793, 3635.6855912642045, 0.03004358, 0.07491787997159091]",three,1.0,4.5351473922902495e-05,22050
"[0.5903388, 722.607961680558, 1386.8842215364762, 1624.1735121783088, 0.06848362, 0.006577435661764706]",three,0.7680272108843538,4.5351473922902495e-05,16935
"[0.45025787, 1120.6776504902753, 1332.1691062841776, 2204.461669921875, 0.021539358, 0.048140092329545456]",three,1.0,4.5351473922902495e-05,22050
"[0.49237967, 2198.421022390998, 1997.5065642681138, 4663.651344992898, 0.14747538, 0.12025035511363637]",three,1.0,4.5351473922902495e-05,22050
"[0.38697907, 1692.033744170446, 1785.7669552967984, 3476.8782182173295, 0.057972487, 0.07745916193181818]",three,1.0,4.5351473922902495e-05,22050
"[0.6104967, 666.0053620421002, 1275.0366839000353, 1400.5311708192567, 0.0853372, 0.008234797297297296]",three,0.8533786848072562,4.5351473922902495e-05,18817
"[0.5122244, 1415.7101523277754, 1739.6612375733225, 3354.041082208807, 0.016014049, 0.03627707741477273]",three,1.0,4.5351473922902495e-05,22050
"[0.3712648, 1403.3769184158164, 1535.4925170215095, 2978.6782004616475, 0.04628007, 0.06534090909090909]",three,1.0,4.5351473922902495e-05,22050
"[0.6789496, 2497.364599478519, 2110.980157643387, 5143.988591974432, 0.022034833, 0.12714177911931818]",three,1.0,4.5351473922902495e-05,22050
"[0.26224223, 1236.0321800983136, 1481.2632032395934, 2503.479558771307, 0.07636072, 0.059647993607954544]",three,1.0,4.5351473922902495e-05,22050
"[0.5761217, 2354.6201746394704, 1901.6156340031412, 4634.777277166193, 0.011870723, 0.13639692826704544]",three,1.0,4.5351473922902495e-05,22050
"[0.32652375, 1361.8998347505699, 1456.373550945792, 2629.2530406605115, 0.0641867, 0.07040127840909091]",three,1.0,4.5351473922902495e-05,22050
"[0.37145337, 1520.7636277388847, 1633.2902287827303, 3232.427423650568, 0.018155832, 0.07540616122159091]",three,1.0,4.5351473922902495e-05,22050
"[0.5798956, 1554.8481603694572, 1747.0189669710337, 3481.527432528409, 0.013844077, 0.045854048295454544]",three,1.0,4.5351473922902495e-05,22050
"[0.51330173, 2197.0528148086564, 1618.2988459982125, 3840.4957164417615, 0.026054783, 0.1499356356534091]",three,1.0,4.5351473922902495e-05,22050
"[0.40399778, 1117.5285904783102, 1312.6352225588075, 2118.328857421875, 0.015841477, 0.042236328125]",three,1.0,4.5351473922902495e-05,22050
"[0.5551237, 2861.265789180403, 2102.388075858598, 5236.728182705966, 0.0066408087, 0.1657381924715909]",three,1.0,4.5351473922902495e-05,22050
"[0.38290164, 1116.957922161997, 1537.8740454315118, 2512.777987393466, 0.042913683, 0.045842950994318184]",three,1.0,4.5351473922902495e-05,22050
"[0.3652019, 2020.8563812672758, 1846.5164687064796, 4212.677556818182, 0.0075522466, 0.11312588778409091]",three,1.0,4.5351473922902495e-05,22050
"[0.41384646, 2536.5248562962424, 1772.9149881116914, 4658.512739701705, 0.0803127, 0.17210804332386365]",three,1.0,4.5351473922902495e-05,22050
"[0.6971315, 1108.507833048846, 1752.4968191521812, 3052.576238458807, 0.011134186, 0.010209517045454546]",three,1.0,4.5351473922902495e-05,22050
"[0.38776472, 1366.0543427360415, 1523.8555090144691, 2892.7900834517045, 0.008511883, 0.0645751953125]",three,1.0,4.5351473922902495e-05,22050
"[0.4299349, 2081.835872277879, 1713.8771865197764, 4047.2634055397725, 0.02156681, 0.13459916548295456]",three,1.0,4.5351473922902495e-05,22050
"[0.31030032, 1940.2399570532586, 1618.1141589427666, 3666.272527521307, 0.0070634577, 0.13213556463068182]",three,1.0,4.5351473922902495e-05,22050
"[0.32992172, 2064.1972302574786, 1790.9771439683232, 4124.34248490767, 0.018447416, 0.11597789417613637]",three,1.0,4.5351473922902495e-05,22050
"[0.4828856, 2331.5330714294614, 1978.0720865394708, 4575.560968572443, 0.024134837, 0.07359730113636363]",three,1.0,4.5351473922902495e-05,22050
"[0.57043064, 2199.7743556206665, 1997.0025937583966, 4639.181795987216, 0.006797713, 0.1455078125]",three,1.0,4.5351473922902495e-05,22050
"[0.49819213, 2102.805208436284, 1879.1594408174903, 4435.350452769886, 0.0045874873, 0.19420276988636365]",three,1.0,4.5351473922902495e-05,22050
"[0.49587932, 2144.5204127348857, 1786.6732497964244, 4251.094748757102, 0.014444053, 0.14507501775568182]",three,1.0,4.5351473922902495e-05,22050
"[0.3931337, 1812.4450375691472, 1647.2564476434818, 3545.3929554332385, 0.0445198, 0.08754660866477272]",three,1.0,4.5351473922902495e-05,22050
"[0.4096541, 1393.7827533389088, 1443.604212759184, 2652.743807705966, 0.126622, 0.07225452769886363]",three,1.0,4.5351473922902495e-05,22050
"[0.508136, 2071.6252307469713, 1721.7030081220903, 4169.121759588068, 0.017416505, 0.16251997514204544]",three,1.0,4.5351473922902495e-05,22050
"[0.45862487, 1674.8531073026063, 1742.1739174401685, 3552.4891246448865, 0.012912664, 0.05051491477272727]",three,1.0,4.5351473922902495e-05,22050
