"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class,duration,sample_duration,total_sample
"[0.5464005, 2452.25246533858, 1796.8304704684342, 4483.55546431108, 0.017090095, 0.13133655894886365]",yes,1.0,4.5351473922902495e-05,22050
"[0.5422825, 1836.2174957401357, 1945.4278971354659, 4199.219304865057, 0.028974002, 0.0789794921875]",yes,1.0,4.5351473922902495e-05,22050
"[0.49467826, 2265.7158079566207, 1660.0160167148692, 4036.252108487216, 0.018306222, 0.17431640625]",yes,1.0,4.5351473922902495e-05,22050
"[0.38409632, 1887.8276515019643, 1633.1864085108873, 3348.4130859375, 0.15324144, 0.13960404829545456]",yes,1.0,4.5351473922902495e-05,22050
"[0.46457186, 2547.9040931230556, 2063.2578647584514, 5120.25312943892, 0.028988749, 0.1876220703125]",yes,1.0,4.5351473922902495e-05,22050
"[0.61061937, 1516.810629757357, 1798.5015382620027, 3153.390780362216, 0.030133687, 0.06886985085227272]",yes,1.0,4.5351473922902495e-05,22050
"[0.538788, 2721.0720763579325, 2081.5130281752645, 5038.280140269886, 0.017083496, 0.18384898792613635]",yes,1.0,4.5351473922902495e-05,22050
"[0.41724148, 3021.985294109926, 1616.808491432348, 4879.717462713068, 0.021796804, 0.24114435369318182]",yes,1.0,4.5351473922902495e-05,22050
"[0.40541065, 1737.637839453625, 1543.0540233149643, 3074.3541370738635, 0.0035069452, 0.12852894176136365]",yes,1.0,4.5351473922902495e-05,22050
"[0.42613694, 2701.26154933933, 1876.6044739404567, 4529.313520951705, 0.017537883, 0.20222611860795456]",yes,1.0,4.5351473922902495e-05,22050
"[0.36495566, 3039.787827791549, 1865.9582856491463, 5104.347922585227, 0.028461438, 0.24164373224431818]",yes,1.0,4.5351473922902495e-05,22050
"[0.4299281, 3283.5447266431556, 1819.0776260537161, 5308.179265802557, 0.069594935, 0.23761541193181818]",yes,1.0,4.5351473922902495e-05,22050
"[0.4838912, 2665.064991783161, 1898.5597187778287, 4805.574729225852, 0.011615065, 0.2510431463068182]",yes,1.0,4.5351473922902495e-05,22050
"[0.5462029, 2314.632219260662, 1773.8558617212168, 4207.783647017045, 0.030339051, 0.15880237926136365]",yes,1.0,4.5351473922902495e-05,22050
"[0.37946996, 3713.971872247683, 1986.6932883391912, 6028.318093039773, 0.0096988445, 0.2961092862215909]",yes,1.0,4.5351473922902495e-05,22050
"[0.39859593, 3982.6854380062255, 1702.9131328729143, 5761.600008877841, 0.06441959, 0.36262650923295453]",yes,1.0,4.5351473922902495e-05,22050
"[0.57916224, 3109.632886860913, 1837.7570026364986, 5241.377397017045, 0.01254555, 0.2520751953125]",yes,1.0,4.5351473922902495e-05,22050
"[0.5871866, 1728.353470142879, 1694.1442939125018, 3097.1108176491475, 0.058322523, 0.10674493963068182]",yes,1.0,4.5351473922902495e-05,22050
"[0.46145397, 3050.386449650209, 1690.424972297752, 4851.332785866477, 0.009957474, 0.25251908735795453]",yes,1.0,4.5351473922902495e-05,22050
"[0.6398008, 2537.249998324459, 1990.9875711899988, 4875.557639382102, 0.056613002, 0.1425448330965909]",yes,1.0,4.5351473922902495e-05,22050
"[0.45372903, 2158.735396534517, 1707.6621862242166, 4034.539240056818, 0.015688267, 0.15106756036931818]",yes,1.0,4.5351473922902495e-05,22050
"[0.50210005, 1692.7202440212184, 1748.5321986905933, 3458.2813609730115, 0.14627504, 0.08915571732954546]",yes,1.0,4.5351473922902495e-05,22050
"[0.4769367, 1959.058436602867, 1791.1580381779704, 3774.917325106534, 0.02980607, 0.11671031605113637]",yes,1.0,4.5351473922902495e-05,22050
"[0.43132484, 2276.452684463655, 1751.451322658091, 4178.420188210227, 0.011480155, 0.17118696732954544]",yes,1.0,4.5351473922902495e-05,22050
"[0.4617035, 2245.6364613436567, 1828.7513590508106, 4272.627951882102, 0.0074313553, 0.17417214133522727]",yes,1.0,4.5351473922902495e-05,22050
"[0.43228272, 2099.2406813199955, 1895.7655132510502, 4279.479425603693, 0.022757234, 0.13078169389204544]",yes,1.0,4.5351473922902495e-05,22050
"[0.34678948, 1667.9520784316003, 1425.5003784776, 2746.951571377841, 0.03241322, 0.12359064275568182]",yes,1.0,4.5351473922902495e-05,22050
