duration,sample_duration,total_sample,class
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
0.5974149659863945,4.5351473922902495e-05,13173,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
0.9752834467120182,4.5351473922902495e-05,21505,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
0.9387301587301587,4.5351473922902495e-05,20699,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
0.98140589569161,4.5351473922902495e-05,21640,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
0.7895238095238095,4.5351473922902495e-05,17409,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
1.0,4.5351473922902495e-05,22050,four
0.98140589569161,4.5351473922902495e-05,21640,four
