duration,sample_duration,total_sample,class
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
0.7680272108843538,4.5351473922902495e-05,16935,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
0.810702947845805,4.5351473922902495e-05,17876,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
0.8533786848072562,4.5351473922902495e-05,18817,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
1.0,4.5351473922902495e-05,22050,zero
